--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
1,Matías Abaldo,uy URU,MFFW,Independiente,22-165,2004,18.8,5,33,16,48.5,1.76,0.85,0.15,0.31,0,0,Matches,5b0041f5
2,Carlos Abeldano,ar ARG,FW,Atlé Tucumán,21-159,2005,6.4,1,12,2,16.7,1.88,0.31,0.08,0.50,0,0,Matches,121f452f
3,Ramón Ábila,ar ARG,FW,Estudiantes–RC,36-336,1989,2.2,0,2,1,50.0,0.92,0.46,0.00,0.00,0,0,Matches,db5ee72d
4,Ignacio Abraham,sy SYR,DFMF,Banfield,28-246,1998,23.3,0,14,5,35.7,0.60,0.21,0.00,0.00,0,0,Matches,02d9aaa9
5,Gonzalo Abrego,ar ARG,MF,CA San Lorenzo,26-251,2000,6.2,0,5,3,60.0,0.81,0.49,0.00,0.00,0,0,Matches,de8bad41
6,Gustavo Abregú,ar ARG,MF,Instituto,29-073,1997,20.3,0,8,1,12.5,0.39,0.05,0.00,0.00,0,0,Matches,1d24b10e
7,Jonás Acevedo,ar ARG,MF,Instituto,29-221,1997,2.4,0,4,1,25.0,1.64,0.41,0.00,0.00,0,0,Matches,0b419c37
8,Benjamin Acosta,ar ARG,FW,Lanús,20-219,2006,0.4,0,2,0,0.0,4.62,0.00,0.00,,0,0,Matches,651a9554
9,Jeremías Acosta,ar ARG,FW,Banfield,18-253,2008,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,831e6bd6
10,Lucas Acosta,ar ARG,GK,Aldosivi,31-187,1995,6.0,0,0,0,,0.00,0.00,,,0,0,Matches,50f7c408
11,Marcos Acuña,ar ARG,DF,River Plate,34-322,1991,13.8,0,12,2,16.7,0.87,0.15,0.00,0.00,0,0,Matches,81442ecb
12,Valentino Acuña,ar ARG,MF,Newell's,20-231,2006,3.3,0,0,0,,0.00,0.00,,,0,0,Matches,a2e1934e
13,Tomás Adoryán,am ARM,MF,Banfield,24-358,2001,11.8,0,28,8,28.6,2.37,0.68,0.00,0.00,0,0,Matches,59684e00
14,Alan Aguerre,ar ARG,GK,C. Córdoba–SdE,36-023,1990,21.5,0,0,0,,0.00,0.00,,,0,0,Matches,ca6050cb
15,Mateo Aguiar,ar ARG,MF,Defensa,19-181,2007,1.7,0,2,1,50.0,1.15,0.57,0.00,0.00,0,0,Matches,251ea0b9
16,Pablo Aguiar,ar ARG,MF,Gimnasia–LP,20-181,2006,1.6,0,0,0,,0.00,0.00,,,0,0,Matches,5b8730ca
17,Brian Aguirre,ar ARG,MF,Estudiantes–LP,23-106,2003,7.3,1,20,9,45.0,2.73,1.23,0.05,0.11,0,0,Matches,edfebd8d
