,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Matías Abaldo,uy URU,MFFW,Independiente,22-165,2004,24,21,1688,18.8,5,2,7,5,0,0,2,1,0.27,0.11,0.37,0.27,0.37,Matches,5b0041f5
2,Carlos Abeldano,ar ARG,FW,Atlé Tucumán,21-159,2005,9,6,575,6.4,1,0,1,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16,Matches,121f452f
3,Ramón Ábila,ar ARG,FW,Estudiantes–RC,36-336,1989,8,1,196,2.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,db5ee72d
4,Ignacio Abraham,sy SYR,DFMF,Banfield,28-246,1998,24,23,2094,23.3,0,4,4,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,Matches,02d9aaa9
5,Gonzalo Abrego,ar ARG,MF,CA San Lorenzo,26-251,2000,12,6,555,6.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,de8bad41
6,Gustavo Abregú,ar ARG,MF,Instituto,29-073,1997,23,21,1823,20.3,0,2,2,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches,1d24b10e
7,Jonás Acevedo,ar ARG,MF,Instituto,29-221,1997,11,1,219,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0b419c37
8,Benjamin Acosta,ar ARG,FW,Lanús,20-219,2006,3,0,39,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,651a9554
9,Jeremías Acosta,ar ARG,FW,Banfield,18-253,2008,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,831e6bd6
10,Lucas Acosta,ar ARG,GK,Aldosivi,31-187,1995,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,50f7c408
11,Marcos Acuña,ar ARG,DF,River Plate,34-322,1991,16,14,1238,13.8,0,1,1,0,0,0,8,0,0.00,0.07,0.07,0.00,0.07,Matches,81442ecb
12,Valentino Acuña,ar ARG,MF,Newell's,20-231,2006,6,4,296,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a2e1934e
13,Tomás Adoryán,am ARM,MF,Banfield,24-358,2001,19,12,1064,11.8,0,2,2,0,0,0,9,0,0.00,0.17,0.17,0.00,0.17,Matches,59684e00
14,Alan Aguerre,ar ARG,GK,C. Córdoba–SdE,36-023,1990,23,23,1937,21.5,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matches,ca6050cb
15,Mateo Aguiar,ar ARG,MF,Defensa,19-181,2007,9,0,157,1.7,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,251ea0b9
16,Pablo Aguiar,ar ARG,MF,Gimnasia–LP,20-181,2006,5,2,148,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5b8730ca
17,Brian Aguirre,ar ARG,MF,Estudiantes–LP,23-106,2003,16,6,659,7.3,1,2,3,1,0,0,2,0,0.14,0.27,0.41,0.14,0.41,Matches,edfebd8d
18,Brian Aguirre,ar ARG,FWMF,Boca Juniors,23-106,2003,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,edfebd8d
19,Misael Aguirre,ar ARG,FWMF,Unión,18-321,2007,17,4,565,6.3,1,0,1,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches,bbef1106
20,Santino Aguirre,ar ARG,MF,Racing Club,19-184,2007,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0bd89dc4
21,Thiago Aguirre,ar ARG,FW,Vélez Sarsfield,17-213,2009,7,1,219,2.4,1,1,2,1,0,0,0,0,0.41,0.41,0.82,0.41,0.82,Matches,70bacebb
22,Manuel Agustín Duarte,ar ARG,MF,Barracas Central,25-023,2001,5,0,97,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,be50f4be
23,Facundo Alaggia,ar ARG,MF,Sarmiento–J,21-106,2005,4,0,42,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,06eaa4fa
24,Gabriel Alanís,ar ARG,MFFW,Estudiantes–RC,32-183,1994,22,18,1495,16.6,2,0,2,2,0,0,0,1,0.12,0.00,0.12,0.12,0.12,Matches,d9ebfcfa
25,Fernando Alarcón,ar ARG,DF,Instituto,32-091,1994,22,21,1852,20.6,1,0,1,1,0,0,9,0,0.05,0.00,0.05,0.05,0.05,Matches,b4c8e4c5
26,Williams Alarcón,cl CHI,MF,Boca Juniors,25-299,2000,8,7,471,5.2,0,1,1,0,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches,325d990a
27,Lucas Alario,ar ARG,FW,Estudiantes–LP,33-342,1992,7,2,226,2.5,1,0,1,1,0,0,1,0,0.40,0.00,0.40,0.40,0.40,Matches,834d0be5
28,Gonzalo Alassia,ar ARG,MF,CA San Lorenzo,22-214,2004,2,2,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f9f1d02c
29,Alan Alcaraz,ar ARG,MF,Arg Juniors,17-257,2009,2,0,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1ff5228c
30,Rodrigo Aliendro,ar ARG,MF,Vélez Sarsfield,35-211,1991,25,16,1514,16.8,1,0,1,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches,8b259046
31,Ángel Almada,ar ARG,MF,Dep. Riestra,25-359,2000,1,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,53247361
32,Thiago Almada,ar ARG,MF,River Plate,25-142,2001,5,5,442,4.9,2,0,2,1,1,1,1,0,0.41,0.00,0.41,0.20,0.20,Matches,27f33438
