perfil,tipo,player_id,player_name,team_id,team_name,position,rival,local_visitante,partidos_previos,titularidades_ultimos_3,partidos_ultimos_3,forma_reciente,ponderado_reciente,promedio,promedio_por90,desviacion,minimo,maximo,confianza_muestra,estabilidad,factor_contexto,media_contextual,score_seguro,score_intermedio,score_arriesgado,cumple_titularidad,cumple_muestra
SEGURO,FIJO,p_1JQZ6o,Matías Borgogno,t_2Swqmw,Club Atlético Platense,ARQ,Newell's Old Boys,VISITANTE,8,3,3,11.0336,11.9374,11.3625625,11.362562499999997,2.3055189926642794,6.8653,14.2752,0.7,0.7970951541376095,1.15,13.066946874999998,11.50377603386291,12.704836312499998,13.75362121875,True,True
SEGURO,FIJO,p_12npfJ,Gabriel Rojas,t_2RmaMX,Racing Club,DEF,Sarmiento,VISITANTE,8,3,3,15.27372,15.416546666666669,12.905725,12.905725,4.274047376483861,7.6235,18.8865,0.7,0.6688254726887594,1.15,14.84158375,14.247761823012933,15.942900608333332,17.541197154166664,True,True
SEGURO,FIJO,p_4LoI3o,Gastón Benedetti,t_1HsET8,Estudiantes,DEF,Lanús,LOCAL,8,3,3,12.21162,11.10018,12.1569125,12.207778242677826,3.779158584899743,4.4456,16.1904,0.7,0.6891350015968494,1.15,13.980449375,11.36250575529579,12.929154492703972,14.656410734361923,True,True
SEGURO,FIJO,p_2vkqTj,Mateo Del Blanco,t_0oa5Fc,Unión,DEF,Independiente,VISITANTE,8,3,3,13.686059999999998,15.294513333333333,12.0371375,12.597004360465116,5.619123531791743,5.0088,18.7577,0.7,0.5331844027044018,0.9744,11.728986780000001,11.31050632034162,12.868251128241859,14.504619977725582,True,True
SEGURO,FIJO,p_47bCwf,Ignacio Malcorra,t_1XZg6T,Independiente,VOL,Unión,LOCAL,8,3,3,13.00182,15.031933333333333,10.300475,11.8661472,6.179567162546951,2.6656,21.77,0.7,0.40006968974275936,1.0556,10.87318141,11.296439284073957,13.432674437849334,16.385693414514666,True,True
SEGURO,FIJO,p_1h4yOi,Julián Palacios,t_0oa5Fc,Unión,VOL,Independiente,VISITANTE,8,3,3,11.72608,14.193166666666665,10.855550000000001,13.337877133105804,5.526513167062419,4.6885,19.2456,0.7,0.49090436071296084,0.9744,10.577647920000002,10.363423067178852,11.986373750724916,14.204896972974744,True,True
SEGURO,FIJO,p_0iuC7I,Leonardo Gil,t_2qXAzu,Huracán,VOL,River Plate,LOCAL,8,3,3,11.155919999999998,10.759626666666666,9.8964875,10.47863382352941,4.464260070969209,3.5267,17.4305,0.7,0.5489045915564276,1.15,11.380960624999998,10.180290048450766,11.950450284436272,14.378010113725487,True,True
SEGURO,FIJO,p_3woyik,Cristian Alberto Tarragona,t_0oa5Fc,Unión,DEL,Independiente,VISITANTE,8,3,3,10.80308,13.118413333333335,9.898499999999999,10.669041916167663,5.319970749919589,1.5567,17.3467,0.7,0.4625477850260554,0.9744,9.645098399999998,9.192276354242159,10.78416105015569,12.722217177667067,True,True
SEGURO,FIJO,p_44fmOo,Gabriel Ávalos,t_1XZg6T,Independiente,DEL,Unión,LOCAL,8,3,3,10.87226,10.43608,9.3002125,9.484635977337112,4.50005532932255,3.4386,15.3347,0.7,0.5161341389433252,1.0556,9.817304315000001,8.959319106687284,10.369319170833853,12.087789231751557,True,True
SEGURO,FIJO,p_3pbQt4,Santiago Solari,t_2RmaMX,Racing Club,DEL,Sarmiento,VISITANTE,8,3,3,10.0744,9.416026666666669,8.322975,9.649826086956521,6.513973285999435,2.0316,19.084,0.7,0.21735037219270337,1.15,9.571421249999998,8.761886692234414,10.827232045833334,14.208960791666664,True,True
SEGURO,FLEX,p_12npfJ,Gabriel Rojas,t_2RmaMX,Racing Club,DEF,Sarmiento,VISITANTE,8,3,3,15.27372,15.416546666666669,12.905725,12.905725,4.274047376483861,7.6235,18.8865,0.7,0.6688254726887594,1.15,14.84158375,14.247761823012933,15.942900608333332,17.541197154166664,True,True
SEGURO,FLEX,p_37G7he,Aaron Molinas,t_1DVMAZ,Defensa y Justicia,VOL,Central Córdoba de Santiago,LOCAL,7,3,3,13.667079999999999,12.86588,13.743314285714286,13.78708280254777,4.0398702732590195,7.0073,19.178,0.45,0.706048323623194,1.0724,14.73833024,12.26486199098529,13.907920973872614,15.829022770817836,True,False
SEGURO,FLEX,p_3gL8Nt,Sebastián Villa,t_0SmVI4,Independiente Rivadavia,DEL,Barracas Central,LOCAL,6,3,3,13.123439999999999,12.281686666666667,13.46855,13.46855,4.55767742024378,8.4231,21.1088,0.45,0.6616059323205705,1.0902,14.683413210000001,12.216303288970794,14.022377344600002,16.527958748299998,True,False
INTERMEDIO,FIJO,p_1JQZ6o,Matías Borgogno,t_2Swqmw,Club Atlético Platense,ARQ,Newell's Old Boys,VISITANTE,8,3,3,11.0336,11.9374,11.3625625,11.362562499999997,2.3055189926642794,6.8653,14.2752,0.7,0.7970951541376095,1.15,13.066946874999998,11.50377603386291,12.704836312499998,13.75362121875,True,True
INTERMEDIO,FIJO,p_12npfJ,Gabriel Rojas,t_2RmaMX,Racing Club,DEF,Sarmiento,VISITANTE,8,3,3,15.27372,15.416546666666669,12.905725,12.905725,4.274047376483861,7.6235,18.8865,0.7,0.6688254726887594,1.15,14.84158375,14.247761823012933,15.942900608333332,17.541197154166664,True,True
INTERMEDIO,FIJO,p_4LoI3o,Gastón Benedetti,t_1HsET8,Estudiantes,DEF,Lanús,LOCAL,8,3,3,12.21162,11.10018,12.1569125,12.207778242677826,3.779158584899743,4.4456,16.1904,0.7,0.6891350015968494,1.15,13.980449375,11.36250575529579,12.929154492703972,14.656410734361923,True,True
INTERMEDIO,FIJO,p_2vkqTj,Mateo Del Blanco,t_0oa5Fc,Unión,DEF,Independiente,VISITANTE,8,3,3,13.686059999999998,15.294513333333333,12.0371375,12.597004360465116,5.619123531791743,5.0088,18.7577,0.7,0.5331844027044018,0.9744,11.728986780000001,11.31050632034162,12.868251128241859,14.504619977725582,True,True
