player_name,team_name,position,partidos_historial,promedio_winning,promedio_ponderado
Ignacio Arce,Deportivo Riestra,ARQ,26,9.614,9.566
Gino Santilli,Banfield,ARQ,2,8.227,8.956
Manuel Vicentini,Club Atlético Belgrano,ARQ,1,8.893,8.893
Lautaro Petruchi,Gimnasia y Esgrima Mendoza,ARQ,2,8.57,8.784
Thyago Ayala,Sarmiento,ARQ,6,8.783,8.571
Julián Kadijevic,Gimnasia y Esgrima,ARQ,2,7.462,8.314
Nicolás Sumavil,Club Atlético Platense,ARQ,1,8.098,8.098
Nicolás Bolcato,Independiente Rivadavia,ARQ,23,8.042,8.087
Thiago Cardozo,Club Atlético Belgrano,ARQ,28,8.007,8.025
Tomás Marchiori,Vélez Sarsfield,ARQ,8,7.622,8.014
Leandro Brey,Boca Juniors,ARQ,7,7.661,7.95
Guido Herrera,CA Talleres,ARQ,17,7.686,7.823
Juan Espínola,Barracas Central,ARQ,6,7.758,7.814
Matías Borgogno,Defensa y Justicia,ARQ,9,7.78,7.762
Marcos Ledesma,Instituto De Córdoba,ARQ,10,7.769,7.753
Brayan Cortés,Argentinos Juniors,ARQ,28,7.681,7.67
Álvaro Montero,Vélez Sarsfield,ARQ,17,7.678,7.647
Orlando Gill,San Lorenzo,ARQ,19,7.569,7.627
Cesar Rigamonti,Gimnasia y Esgrima Mendoza,ARQ,23,7.562,7.575
Nelson Insfrán,Gimnasia y Esgrima,ARQ,25,7.396,7.441
Juan Cozzani,Club Atlético Platense,ARQ,7,6.897,7.315
Nahuel Losada,CA Lanús,ARQ,25,7.22,7.272
Rodrigo Rey,CA Independiente,ARQ,25,7.204,7.229
Jeremías Ledesma,Rosario Central,ARQ,23,7.469,7.215
Hernán Galíndez,Huracán,ARQ,27,7.093,7.191
Matías Borgogno,Club Atlético Platense,ARQ,16,7.074,7.147
Luis Ingolotti,Atlético Tucumán,ARQ,25,7.099,7.113
Cristopher Fiermarín,Defensa y Justicia,ARQ,16,6.816,7.028
Franco Petroli,CA Lanús,ARQ,2,7.224,7.016
Josué Reinatti,Newell's Old Boys,ARQ,14,7.247,7.009
Javier Burrai,Sarmiento,ARQ,16,7.11,6.988
Santiago Beltrán,River Plate,ARQ,29,6.805,6.981
Matías Mansilla,Club Atlético Unión de Santa Fe,ARQ,27,7.021,6.928
Manuel Roffo,Instituto De Córdoba,ARQ,16,7.053,6.921
Facundo Cambeses,Racing Club,ARQ,28,7.012,6.917
José Devecchi,San Lorenzo,ARQ,8,6.52,6.907
Fernando Muslera,Estudiantes de La Plata,ARQ,18,6.945,6.905
Felipe Zenobio,Tigre,ARQ,23,6.75,6.847
Álvaro Montero,Boca Juniors,ARQ,8,6.433,6.79
Lucas Acosta,Aldosivi,ARQ,6,6.86,6.742
Facundo Sanguinetti,Banfield,ARQ,20,6.686,6.623
Agustín Marchesín,Boca Juniors,ARQ,12,6.593,6.445
Javier Vallejos,Central Córdoba,ARQ,4,6.735,6.37
Agustín Lastra,Estudiantes de Río Cuarto,ARQ,11,6.4,6.354
Fabricio Iacovich,Estudiantes de La Plata,ARQ,9,6.49,6.326
Lucas Bruera,Estudiantes de Río Cuarto,ARQ,10,5.999,6.216
Alan Aguerre,Central Córdoba,ARQ,23,6.137,6.102
Ignacio Chicco,Aldosivi,ARQ,4,6.079,6.075
Ezequiel Unsaín,CA Talleres,ARQ,8,6.007,6.033
Renzo Bacchia,Estudiantes de Río Cuarto,ARQ,5,5.803,5.811
Axel Werner,Aldosivi,ARQ,15,5.709,5.723
Diego Rodríguez,Banfield,ARQ,4,5.816,5.697
Williams Barlasina,Newell's Old Boys,ARQ,5,5.533,5.472
Sebastián Meza,Huracán,ARQ,1,5.022,5.022
