variable,categoria,dtype,no_nulos,porcentaje_no_nulo
match_id,PRE_PARTIDO / IDENTIFICACION,str,12208,100.0
date,PRE_PARTIDO / IDENTIFICACION,str,12208,100.0
round_name,PRE_PARTIDO / IDENTIFICACION,str,12208,100.0
player_id,PRE_PARTIDO / IDENTIFICACION,str,12208,100.0
player_name,PRE_PARTIDO / IDENTIFICACION,str,12208,100.0
team_id,PRE_PARTIDO / IDENTIFICACION,str,12208,100.0
team_name,PRE_PARTIDO / IDENTIFICACION,str,12208,100.0
position,PRE_PARTIDO / IDENTIFICACION,str,12208,100.0
minutes_played,REVISAR,float64,12208,100.0
participacion,POST_PARTIDO / LEAKAGE,float64,12208,100.0
area_rival,POST_PARTIDO / LEAKAGE,float64,12208,100.0
ultimo_tercio,POST_PARTIDO / LEAKAGE,float64,12208,100.0
carreras_progresivas,POST_PARTIDO / LEAKAGE,float64,12208,100.0
duelos,POST_PARTIDO / LEAKAGE,float64,12208,100.0
perdidas,POST_PARTIDO / LEAKAGE,float64,12208,100.0
regates_fallidos,POST_PARTIDO / LEAKAGE,float64,12208,100.0
exceso_perdidas,POST_PARTIDO / LEAKAGE,float64,12208,100.0
pases,POST_PARTIDO / LEAKAGE,float64,12208,100.0
peligro_creado,POST_PARTIDO / LEAKAGE,float64,12208,100.0
defensa,POST_PARTIDO / LEAKAGE,float64,12208,100.0
arquero,POST_PARTIDO / LEAKAGE,float64,12208,100.0
goles_asistencias,POST_PARTIDO / LEAKAGE,float64,12208,100.0
disciplina,POST_PARTIDO / LEAKAGE,float64,12208,100.0
resultado_puntos,POST_PARTIDO / LEAKAGE,int64,12208,100.0
bonus_resultado_jugador,POST_PARTIDO / LEAKAGE,float64,12208,100.0
valla_invicta,POST_PARTIDO / LEAKAGE,float64,12208,100.0
winning_total,POST_PARTIDO / LEAKAGE,float64,12208,100.0
accurate_passes,POST_PARTIDO / LEAKAGE,float64,12208,100.0
passes,POST_PARTIDO / LEAKAGE,float64,12208,100.0
progressive_passes,POST_PARTIDO / LEAKAGE,float64,12208,100.0
precision_pases,POST_PARTIDO / LEAKAGE,float64,12208,100.0
passes_into_final_third,POST_PARTIDO / LEAKAGE,float64,12208,100.0
long_balls_accurate,POST_PARTIDO / LEAKAGE,float64,12208,100.0
accurate_crosses,POST_PARTIDO / LEAKAGE,float64,12208,100.0
progressive_carries,POST_PARTIDO / LEAKAGE,float64,12208,100.0
take_ons,POST_PARTIDO / LEAKAGE,float64,12208,100.0
take_ons_won,POST_PARTIDO / LEAKAGE,float64,12208,100.0
failed_dribbles,POST_PARTIDO / LEAKAGE,float64,12208,100.0
miscontrols,POST_PARTIDO / LEAKAGE,float64,12208,100.0
dispossessed,POST_PARTIDO / LEAKAGE,float64,12208,100.0
duels_won,POST_PARTIDO / LEAKAGE,float64,12208,100.0
duels_lost,POST_PARTIDO / LEAKAGE,float64,12208,100.0
tackles,POST_PARTIDO / LEAKAGE,float64,12208,100.0
interceptions,POST_PARTIDO / LEAKAGE,float64,12208,100.0
recoveries,POST_PARTIDO / LEAKAGE,float64,12208,100.0
clearances,POST_PARTIDO / LEAKAGE,float64,12208,100.0
blocks,POST_PARTIDO / LEAKAGE,float64,12208,100.0
dribbled_past,POST_PARTIDO / LEAKAGE,float64,12208,100.0
shots_on_target,POST_PARTIDO / LEAKAGE,float64,12208,100.0
goals,POST_PARTIDO / LEAKAGE,float64,12208,100.0
assists,POST_PARTIDO / LEAKAGE,float64,12208,100.0
second_assists,POST_PARTIDO / LEAKAGE,float64,12208,100.0
chances_created,POST_PARTIDO / LEAKAGE,float64,12208,100.0
saves,POST_PARTIDO / LEAKAGE,int64,12208,100.0
saved_penalties,POST_PARTIDO / LEAKAGE,int64,12208,100.0
goals_conceded,POST_PARTIDO / LEAKAGE,float64,12208,100.0
yellow_cards,POST_PARTIDO / LEAKAGE,int64,12208,100.0
second_yellow,POST_PARTIDO / LEAKAGE,int64,12208,100.0
red_cards_direct,POST_PARTIDO / LEAKAGE,int64,12208,100.0
match_finished,POST_PARTIDO / LEAKAGE,bool,12208,100.0
pitchapi_home_team,PRE_PARTIDO / IDENTIFICACION,str,12208,100.0
pitchapi_home_team_id,PRE_PARTIDO / IDENTIFICACION,str,12208,100.0
pitchapi_away_team,PRE_PARTIDO / IDENTIFICACION,str,12208,100.0
pitchapi_away_team_id,PRE_PARTIDO / IDENTIFICACION,str,12208,100.0
pitchapi_fecha,PRE_PARTIDO / IDENTIFICACION,str,12208,100.0
pitchapi_es_local,PRE_PARTIDO / IDENTIFICACION,bool,12208,100.0
sofascore_event_id,PRE_PARTIDO / IDENTIFICACION,float64,5649,46.27
sofascore_match,PRE_PARTIDO / IDENTIFICACION,bool,12208,100.0
sofascore_ballPossession,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_ballPossession,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_totalShotsOnGoal,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_totalShotsOnGoal,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_shotsOnGoal,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_shotsOnGoal,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_shotsOffGoal,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_shotsOffGoal,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_blockedScoringAttempt,POST_PARTIDO / LEAKAGE,float64,5589,45.78
rival_blockedScoringAttempt,POST_PARTIDO / LEAKAGE,float64,5589,45.78
sofascore_totalShotsInsideBox,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_totalShotsInsideBox,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_totalShotsOutsideBox,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_totalShotsOutsideBox,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_expectedGoals,POST_PARTIDO / LEAKAGE,float64,2314,18.95
rival_expectedGoals,POST_PARTIDO / LEAKAGE,float64,2314,18.95
sofascore_expectedGoalsOnTarget,POST_PARTIDO / LEAKAGE,float64,2314,18.95
rival_expectedGoalsOnTarget,POST_PARTIDO / LEAKAGE,float64,2314,18.95
sofascore_bigChanceCreated,POST_PARTIDO / LEAKAGE,float64,5433,44.5
rival_bigChanceCreated,POST_PARTIDO / LEAKAGE,float64,5433,44.5
sofascore_bigChanceMissed,POST_PARTIDO / LEAKAGE,float64,5028,41.19
rival_bigChanceMissed,POST_PARTIDO / LEAKAGE,float64,5028,41.19
sofascore_touchesInOppBox,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_touchesInOppBox,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_finalThirdEntries,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_finalThirdEntries,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_fouledFinalThird,POST_PARTIDO / LEAKAGE,float64,5587,45.77
rival_fouledFinalThird,POST_PARTIDO / LEAKAGE,float64,5587,45.77
sofascore_cornerKicks,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_cornerKicks,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_fouls,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_fouls,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_passes,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_passes,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_accuratePasses,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_accuratePasses,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_accurateCross,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_accurateCross,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_accurateLongBalls,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_accurateLongBalls,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_duelWonPercent,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_duelWonPercent,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_dispossessed,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_dispossessed,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_groundDuelsPercentage,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_groundDuelsPercentage,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_aerialDuelsPercentage,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_aerialDuelsPercentage,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_dribblesPercentage,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_dribblesPercentage,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_wonTacklePercent,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_wonTacklePercent,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_totalTackle,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_totalTackle,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_interceptionWon,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_interceptionWon,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_ballRecovery,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_ballRecovery,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_totalClearance,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_totalClearance,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_goalkeeperSaves,POST_PARTIDO / LEAKAGE,float64,5617,46.01
rival_goalkeeperSaves,POST_PARTIDO / LEAKAGE,float64,5617,46.01
sofascore_freeKicks,POST_PARTIDO / LEAKAGE,float64,5649,46.27
rival_freeKicks,POST_PARTIDO / LEAKAGE,float64,5649,46.27
sofascore_offsides,POST_PARTIDO / LEAKAGE,float64,5460,44.72
rival_offsides,POST_PARTIDO / LEAKAGE,float64,5460,44.72
sofascore_yellowCards,POST_PARTIDO / LEAKAGE,float64,5587,45.77
rival_yellowCards,POST_PARTIDO / LEAKAGE,float64,5587,45.77
sofascore_errorsLeadToShot,POST_PARTIDO / LEAKAGE,float64,2121,17.37
rival_errorsLeadToShot,POST_PARTIDO / LEAKAGE,float64,2121,17.37
sofascore_errorsLeadToGoal,POST_PARTIDO / LEAKAGE,float64,1063,8.71
rival_errorsLeadToGoal,POST_PARTIDO / LEAKAGE,float64,1063,8.71
rival_team_name,PRE_PARTIDO / IDENTIFICACION,str,12208,100.0
rival_partidos_historicos,PRE_PARTIDO / IDENTIFICACION,float64,10808,88.53
matchup_arq,PRE_PARTIDO / IDENTIFICACION,float64,462,3.78
matchup_def,PRE_PARTIDO / IDENTIFICACION,float64,2335,19.13
matchup_vol,PRE_PARTIDO / IDENTIFICACION,float64,2862,23.44
matchup_del,PRE_PARTIDO / IDENTIFICACION,float64,1467,12.02
matchup_score,PRE_PARTIDO / IDENTIFICACION,float64,7126,58.37
matchup_variables_usadas,PRE_PARTIDO / IDENTIFICACION,float64,7126,58.37
