match_id,date,round_name,player_id,player_name,team_id,team_name,position,minutes_played,participacion,area_rival,ultimo_tercio,carreras_progresivas,duelos,perdidas,regates_fallidos,exceso_perdidas,pases,peligro_creado,defensa,arquero,goles_asistencias,resultado_puntos,valla_invicta,winning_total,accurate_passes,passes,progressive_passes,precision_pases,passes_into_final_third,long_balls_accurate,accurate_crosses,progressive_carries,take_ons,take_ons_won,failed_dribbles,miscontrols,dispossessed,duels_won,duels_lost,tackles,interceptions,recoveries,clearances,blocks,dribbled_past,shots_on_target,goals,assists,chances_created,saves,saved_penalties,goals_conceded,match_finished
m_019qHk,2026-05-04,9,p_3gzo7L,Éver Banega,t_1DVMAZ,Defensa y Justicia,,19.0,0.57,0.0,0.0,0.1,0.0,-0.2,0.0,0.0,1.9966,0.0,0.0,0.0,0.0,0,0.0,2.4666,24.0,29.0,6.0,0.8276,11.0,7.0,3.0,2.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,True
m_019qHk,2026-05-04,9,p_2UZfm9,Ezequiel Muñoz,t_1g5yTJ,Gimnasia Mendoza,,90.0,2.7,0.24,0.0,0.05,0.0,-0.2,0.0,0.0,0.8529,-1.0,3.48,0.0,0.0,3,0.0,9.1229,26.0,31.0,1.0,0.8387,2.0,6.0,0.0,1.0,0.0,0.0,0,0.0,1.0,2.0,2.0,2.0,1.0,5.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,1.0,True
m_019qHk,2026-05-04,9,p_07rsoz,Ruben Botta,t_1DVMAZ,Defensa y Justicia,,72.0,2.16,0.0,0.0,0.05,-0.6,-1.0,-0.3,0.0,0.9158,0.6,1.2,0.0,0.0,0,0.0,3.0258,15.0,19.0,5.0,0.7895,5.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,5.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,2.0,True
m_019qHk,2026-05-04,9,p_3foBen,César Rigamonti,t_1g5yTJ,Gimnasia Mendoza,,90.0,2.7,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.999,0.0,1.64,0.0,0.0,3,0.0,9.339,7.0,20.0,0.0,0.35,14.0,25.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1.0,True
m_019qHk,2026-05-04,9,p_3HdfVG,Emiliano Amor,t_1DVMAZ,Defensa y Justicia,,90.0,2.7,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.518,0.0,3.38,0.0,0.0,0,0.0,7.598,44.0,55.0,4.0,0.8,5.0,10.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,True
m_019qHk,2026-05-04,9,p_2Wjg0N,David Barbona,t_1DVMAZ,Defensa y Justicia,,18.0,0.54,0.12,0.0,0.0,0.0,-0.0,0.0,0.0,0.4613,0.6,0.6,0.0,0.0,0,0.0,2.3213,14.0,15.0,0.0,0.9333,1.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,2.0,True
m_019qHk,2026-05-04,9,p_1VlIuF,Brian Andrada,t_1g5yTJ,Gimnasia Mendoza,,62.0,1.86,0.0,0.0,0.05,-0.4,-0.2,0.0,0.0,0.3625,0.6,0.52,0.0,0.0,3,0.0,5.7925,14.0,16.0,1.0,0.875,2.0,0.0,0.0,1.0,1.0,1.0,0,1.0,0.0,1.0,3.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,1.0,True
m_019qHk,2026-05-04,9,p_1iogLn,Fermín Antonini,t_1g5yTJ,Gimnasia Mendoza,,90.0,2.7,0.0,0.0,0.0,-0.4,-0.0,0.0,0.0,0.2867,0.0,1.64,0.0,0.0,3,0.0,7.2267,14.0,21.0,0.0,0.6667,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1.0,True
m_019qHk,2026-05-04,9,p_4LMFQ0,Diego Mondino,t_1g5yTJ,Gimnasia Mendoza,,90.0,2.7,0.24,0.0,0.0,0.0,-0.0,0.0,0.0,1.2939,0.6,4.44,0.0,0.0,3,0.0,12.2739,28.0,33.0,7.0,0.8485,4.0,10.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,2.0,3.0,3.0,6.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1.0,True
m_019qHk,2026-05-04,9,p_0EQwZX,Blas Armoa,t_1g5yTJ,Gimnasia Mendoza,,18.0,0.54,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.01,0.0,0.0,0.0,0.0,3,0.0,3.35,1.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,True
