variable,n,pearson,spearman,abs_spearman
rival_errorsLeadToGoal,1063,0.31839977741287057,0.33731776485068093,0.33731776485068093
sofascore_errorsLeadToGoal,1063,-0.3097888958620385,-0.3344422969987739,0.3344422969987739
sofascore_shotsOnGoal,5649,0.2901468366189552,0.2777485163274125,0.2777485163274125
sofascore_bigChanceCreated,5433,0.28893473626217764,0.2712859856546887,0.2712859856546887
sofascore_expectedGoalsOnTarget,2314,0.28139399152844974,0.2646491236034818,0.2646491236034818
sofascore_expectedGoals,2314,0.25659332558396225,0.21945476022140858,0.21945476022140858
rival_bigChanceCreated,5433,-0.20166325308321467,-0.21064106236212696,0.21064106236212696
sofascore_totalShotsInsideBox,5649,0.1866269836709242,0.17423449312792735,0.17423449312792735
rival_shotsOnGoal,5649,-0.15610485299527238,-0.166284514102811,0.166284514102811
sofascore_totalShotsOnGoal,5649,0.17217004117894377,0.15178743648209725,0.15178743648209725
sofascore_duelWonPercent,5649,0.13465708030090803,0.13559688956335456,0.13559688956335456
rival_duelWonPercent,5649,-0.13465708030090803,-0.13559688956335456,0.13559688956335456
rival_goalkeeperSaves,5617,0.13686056462456953,0.12764011953716808,0.12764011953716808
sofascore_touchesInOppBox,5649,0.1230955444255269,0.11823178110122827,0.11823178110122827
sofascore_ballRecovery,5649,0.12480510360535048,0.11639761450346067,0.11639761450346067
rival_expectedGoalsOnTarget,2314,-0.09241087446285148,-0.11332077418946633,0.11332077418946633
sofascore_bigChanceMissed,5028,0.12554088842218064,0.11114222372996559,0.11114222372996559
sofascore_yellowCards,5587,-0.12582619666890602,-0.10537323001700195,0.10537323001700195
rival_totalClearance,5649,-0.10660752157254984,-0.10284730982358617,0.10284730982358617
rival_totalShotsInsideBox,5649,-0.09356992520542359,-0.1022095903804203,0.1022095903804203
rival_expectedGoals,2314,-0.10992603832540682,-0.1016854508542014,0.1016854508542014
sofascore_totalClearance,5649,0.09108506860784199,0.09523365176428328,0.09523365176428328
sofascore_groundDuelsPercentage,5649,0.10061384136995635,0.09449741752645628,0.09449741752645628
sofascore_accuratePasses,5649,0.0967603687327127,0.09157121708968939,0.09157121708968939
rival_fouledFinalThird,5587,-0.07603350448627264,-0.09065445400519688,0.09065445400519688
sofascore_passes,5649,0.0917603673403505,0.08787247344858537,0.08787247344858537
sofascore_fouls,5649,-0.09071694609213792,-0.08554380055146053,0.08554380055146053
sofascore_totalTackle,5649,0.09450346337282572,0.08072246398430477,0.08072246398430477
sofascore_fouledFinalThird,5587,0.06665694963921664,0.07872378443555104,0.07872378443555104
sofascore_errorsLeadToShot,2121,0.072842328870526,0.07871558177084975,0.07871558177084975
rival_bigChanceMissed,5028,-0.0845853540806214,-0.07841250383491587,0.07841250383491587
rival_dispossessed,5649,0.09728360033770901,0.07808574547010519,0.07808574547010519
rival_freeKicks,5649,-0.08211311589230945,-0.07749188179761125,0.07749188179761125
rival_errorsLeadToShot,2121,-0.05986210959466566,-0.07612724838571366,0.07612724838571366
rival_totalShotsOnGoal,5649,-0.07677765384810713,-0.07215675721361058,0.07215675721361058
rival_ballPossession,5649,-0.06292651573149133,-0.06827550753947667,0.06827550753947667
sofascore_ballPossession,5649,0.06292651573149133,0.06827550753947667,0.06827550753947667
sofascore_totalShotsOutsideBox,5649,0.07893638169555735,0.0664989054750802,0.0664989054750802
sofascore_wonTacklePercent,5649,0.07597867985789437,0.06379432664112418,0.06379432664112418
rival_yellowCards,5587,0.07128234128580802,0.06208984982446411,0.06208984982446411
rival_groundDuelsPercentage,5649,-0.05279518157764188,-0.05806843724764612,0.05806843724764612
sofascore_goalkeeperSaves,5617,-0.05485816849081862,-0.05799803969662906,0.05799803969662906
rival_aerialDuelsPercentage,5649,-0.0581143695783392,-0.05441538095079019,0.05441538095079019
rival_touchesInOppBox,5649,-0.0395357337606386,-0.054313190791917876,0.054313190791917876
sofascore_offsides,5460,-0.030545692796872522,-0.04856704217724362,0.04856704217724362
sofascore_shotsOffGoal,5649,0.06118462083522383,0.0478347254629781,0.0478347254629781
rival_accuratePasses,5649,-0.03935551276356582,-0.04222810026546079,0.04222810026546079
rival_passes,5649,-0.03786336605364013,-0.04159630614458063,0.04159630614458063
sofascore_cornerKicks,5649,0.041831927946935854,0.04139112447602967,0.04139112447602967
rival_fouls,5649,0.039342366286739754,0.040169114083482796,0.040169114083482796
rival_ballRecovery,5649,-0.036996252923811944,-0.03301762173711971,0.03301762173711971
sofascore_accurateCross,5649,0.03607717162252392,0.03168578365016001,0.03168578365016001
sofascore_freeKicks,5649,0.03051195468061214,0.03129818988969316,0.03129818988969316
rival_totalTackle,5649,-0.03566415349491041,-0.030625382930977,0.030625382930977
rival_dribblesPercentage,5649,0.04317984850742727,0.02909829449397258,0.02909829449397258
rival_cornerKicks,5649,-0.02476417198907222,-0.028440809400594902,0.028440809400594902
sofascore_dispossessed,5649,-0.039518970583386014,-0.02520468647484702,0.02520468647484702
rival_finalThirdEntries,5649,0.029333557210494788,0.02344667642302798,0.02344667642302798
rival_offsides,5460,0.009308468346780296,0.02175643129034512,0.02175643129034512
rival_blockedScoringAttempt,5589,0.0014926594484294929,0.018563612979220878,0.018563612979220878
sofascore_accurateLongBalls,5649,0.03603987100211074,0.017933300666659227,0.017933300666659227
rival_accurateLongBalls,5649,-0.000738860582573915,0.0143322298904621,0.0143322298904621
rival_totalShotsOutsideBox,5649,-0.021767989204644615,-0.01303680946195232,0.01303680946195232
rival_shotsOffGoal,5649,-0.018206873349863636,-0.012706238262992902,0.012706238262992902
sofascore_blockedScoringAttempt,5589,0.03133004352843166,0.012699501173566443,0.012699501173566443
sofascore_dribblesPercentage,5649,0.015947356931419937,0.011762609021977495,0.011762609021977495
sofascore_aerialDuelsPercentage,5649,0.015470675554186812,0.00875371401381055,0.00875371401381055
rival_wonTacklePercent,5649,-0.01201428226110014,-0.007670821160105082,0.007670821160105082
rival_accurateCross,5649,-0.00339413217231131,-0.00734251795820995,0.00734251795820995
rival_interceptionWon,5649,0.003180762629516695,0.00684551346186155,0.00684551346186155
sofascore_interceptionWon,5649,0.0021221533675922517,0.004373706370053025,0.004373706370053025
sofascore_finalThirdEntries,5649,-0.010837451414860791,-0.0038218307183552147,0.0038218307183552147
