position,variable,n,pearson,spearman,abs_spearman
ARQ,sofascore_ballPossession,369,-0.22301295466587392,-0.19728344293987532,0.19728344293987532
ARQ,rival_ballPossession,369,0.22301295466587392,0.19728344293987532,0.19728344293987532
ARQ,sofascore_totalShotsOnGoal,369,-0.06048118172173488,-0.06389866333827045,0.06389866333827045
ARQ,rival_totalShotsOnGoal,369,0.05737750428462019,0.038616611099336715,0.038616611099336715
ARQ,sofascore_shotsOnGoal,369,0.18332668678712982,0.1907356219706494,0.1907356219706494
ARQ,rival_shotsOnGoal,369,-0.16893610978091494,-0.20927808136236584,0.20927808136236584
ARQ,sofascore_shotsOffGoal,369,-0.14977348347296668,-0.14253177416523946,0.14253177416523946
ARQ,rival_shotsOffGoal,369,0.14819298295712843,0.1372823444376544,0.1372823444376544
ARQ,sofascore_blockedScoringAttempt,365,-0.15307818873580228,-0.15931467879044348,0.15931467879044348
ARQ,rival_blockedScoringAttempt,365,0.12460360342879888,0.13211869113194902,0.13211869113194902
ARQ,sofascore_totalShotsInsideBox,369,0.01747932208677614,0.02088620911988258,0.02088620911988258
ARQ,rival_totalShotsInsideBox,369,-0.01483227889361004,-0.04504110824301836,0.04504110824301836
ARQ,sofascore_totalShotsOutsideBox,369,-0.1340299153037815,-0.1309026127487615,0.1309026127487615
ARQ,rival_totalShotsOutsideBox,369,0.12588067605061753,0.10597018383736197,0.10597018383736197
ARQ,sofascore_expectedGoals,153,0.12398290251402065,0.06587295882908083,0.06587295882908083
ARQ,rival_expectedGoals,153,-0.16345349873051127,-0.17148895883404758,0.17148895883404758
ARQ,sofascore_expectedGoalsOnTarget,153,0.1984429344522167,0.17597047954156297,0.17597047954156297
ARQ,rival_expectedGoalsOnTarget,153,-0.2570851463266164,-0.29988875302650025,0.29988875302650025
ARQ,sofascore_bigChanceCreated,355,0.26485697841183936,0.2747218024560046,0.2747218024560046
ARQ,rival_bigChanceCreated,355,-0.28985475612600664,-0.31186142178406157,0.31186142178406157
ARQ,sofascore_bigChanceMissed,329,0.05218953910545102,0.0539902630594278,0.0539902630594278
ARQ,rival_bigChanceMissed,329,0.01847264808585004,0.020880734405027402,0.020880734405027402
ARQ,sofascore_touchesInOppBox,369,-0.13002631871535067,-0.11052654117507842,0.11052654117507842
ARQ,rival_touchesInOppBox,369,0.11679491675428996,0.08539664072412759,0.08539664072412759
ARQ,sofascore_finalThirdEntries,369,-0.13216126242119464,-0.09822763253368318,0.09822763253368318
ARQ,rival_finalThirdEntries,369,0.258133333820077,0.22360898396059645,0.22360898396059645
ARQ,sofascore_fouledFinalThird,365,-0.03328982947771266,-0.004895405268182033,0.004895405268182033
ARQ,rival_fouledFinalThird,365,0.031398922567157456,-0.0040499371201861804,0.0040499371201861804
ARQ,sofascore_cornerKicks,369,-0.1246093785533187,-0.11007065988611624,0.11007065988611624
ARQ,rival_cornerKicks,369,0.1390123958264133,0.12477505137651781,0.12477505137651781
ARQ,sofascore_fouls,369,0.08256335549143792,0.06250131758225848,0.06250131758225848
ARQ,rival_fouls,369,-0.009256901199086858,-0.012901236499505697,0.012901236499505697
ARQ,sofascore_passes,369,-0.20528878218242153,-0.19258549810677197,0.19258549810677197
ARQ,rival_passes,369,0.16430200418433097,0.14345497375420277,0.14345497375420277
ARQ,sofascore_accuratePasses,369,-0.21700037466590782,-0.20843204255946376,0.20843204255946376
ARQ,rival_accuratePasses,369,0.146032684465304,0.12817034901323474,0.12817034901323474
ARQ,sofascore_accurateCross,369,-0.1633627673885343,-0.15310858902874494,0.15310858902874494
ARQ,rival_accurateCross,369,0.16450609196515148,0.15434447121598693,0.15434447121598693
ARQ,sofascore_accurateLongBalls,369,-0.07314746899385595,-0.07785075928938139,0.07785075928938139
ARQ,rival_accurateLongBalls,369,0.07062886405298237,0.06671427876506127,0.06671427876506127
ARQ,sofascore_duelWonPercent,369,-0.02715139577703935,-0.0013451345797989868,0.0013451345797989868
ARQ,rival_duelWonPercent,369,0.02715139577703935,0.0013451345797989868,0.0013451345797989868
ARQ,sofascore_dispossessed,369,-0.12620584312392039,-0.10785738180878955,0.10785738180878955
ARQ,rival_dispossessed,369,0.03281604421304639,0.0006863819370064067,0.0006863819370064067
ARQ,sofascore_groundDuelsPercentage,369,-0.04437105599630007,-0.03361805577774362,0.03361805577774362
ARQ,rival_groundDuelsPercentage,369,-0.008501616420361652,-0.02495280818116692,0.02495280818116692
ARQ,sofascore_aerialDuelsPercentage,369,0.09121363617099405,0.08956476438322346,0.08956476438322346
ARQ,rival_aerialDuelsPercentage,369,0.07281574074202975,0.06577370214746202,0.06577370214746202
ARQ,sofascore_dribblesPercentage,369,-0.180818937015954,-0.1646038656394407,0.1646038656394407
ARQ,rival_dribblesPercentage,369,0.10061928206169986,0.08591721380753647,0.08591721380753647
ARQ,sofascore_wonTacklePercent,369,0.03250510765804907,0.029256738950387263,0.029256738950387263
ARQ,rival_wonTacklePercent,369,-0.11782652542237643,-0.09742996678484182,0.09742996678484182
ARQ,sofascore_totalTackle,369,0.06063442857197839,0.05467146856064988,0.05467146856064988
ARQ,rival_totalTackle,369,-0.1391316043772384,-0.12472183240667539,0.12472183240667539
ARQ,sofascore_interceptionWon,369,0.0325895608324152,0.037177748018779516,0.037177748018779516
ARQ,rival_interceptionWon,369,-0.017559868599442214,-0.02195849138086607,0.02195849138086607
ARQ,sofascore_ballRecovery,369,0.14471145219620038,0.14147554503829826,0.14147554503829826
ARQ,rival_ballRecovery,369,0.0012961731158158082,-0.014131566073982289,0.014131566073982289
ARQ,sofascore_totalClearance,369,0.3344338838215078,0.3370661629095115,0.3370661629095115
ARQ,rival_totalClearance,369,-0.23374728339797113,-0.24721149068397769,0.24721149068397769
ARQ,sofascore_goalkeeperSaves,367,0.12330112200688022,0.10472102014560575,0.10472102014560575
ARQ,rival_goalkeeperSaves,367,0.010939120683849744,0.022835571877393396,0.022835571877393396
ARQ,sofascore_freeKicks,369,-0.019626384514922383,-0.022342292796429186,0.022342292796429186
ARQ,rival_freeKicks,369,0.09906979231300334,0.07801048757652805,0.07801048757652805
ARQ,sofascore_offsides,357,-0.02298702568420409,-0.02311542335262449,0.02311542335262449
ARQ,rival_offsides,357,0.07529876201591089,0.08874157148598809,0.08874157148598809
ARQ,sofascore_yellowCards,365,-0.03884172073030345,-0.046086358286464374,0.046086358286464374
ARQ,rival_yellowCards,365,0.06821491704710045,0.04707648408215872,0.04707648408215872
ARQ,sofascore_errorsLeadToShot,137,0.09228650756866486,0.11703313132333656,0.11703313132333656
ARQ,rival_errorsLeadToShot,137,-0.06643191890800337,-0.10992892093102684,0.10992892093102684
ARQ,sofascore_errorsLeadToGoal,70,-0.5430538701387889,-0.5757888337305032,0.5757888337305032
ARQ,rival_errorsLeadToGoal,70,0.5610688558867675,0.5873525284551709,0.5873525284551709
DEF,sofascore_ballPossession,1864,0.0963877076903526,0.09047795635277625,0.09047795635277625
DEF,rival_ballPossession,1864,-0.0963877076903526,-0.09047795635277625,0.09047795635277625
DEF,sofascore_totalShotsOnGoal,1864,0.1408680886749162,0.12556708492331237,0.12556708492331237
DEF,rival_totalShotsOnGoal,1864,-0.13775816900608326,-0.11616290245150608,0.11616290245150608
DEF,sofascore_shotsOnGoal,1864,0.225664257732881,0.22409945254702265,0.22409945254702265
DEF,rival_shotsOnGoal,1864,-0.2615180309604745,-0.2572973183617008,0.2572973183617008
DEF,sofascore_shotsOffGoal,1864,0.0642843424197266,0.04753410252212351,0.04753410252212351
DEF,rival_shotsOffGoal,1864,-0.05083188494658357,-0.03736396927735966,0.03736396927735966
DEF,sofascore_blockedScoringAttempt,1845,0.02065755969338697,0.006089276548237515,0.006089276548237515
DEF,rival_blockedScoringAttempt,1845,0.006013930395800374,0.04686667864964174,0.04686667864964174
DEF,sofascore_totalShotsInsideBox,1864,0.1440733917329491,0.13112199352020498,0.13112199352020498
DEF,rival_totalShotsInsideBox,1864,-0.15365194171084995,-0.1512348392802103,0.1512348392802103
