date,player_name,team_name,rival_team_name,position,match_id,minutos,matchup_score,ultimo_equipo_historico,fecha_ultimo_registro,dias_desde_ultimo_registro,transferido_desde_otro_equipo,equipos_historicos_previos,registros_previos_mismo_equipo,tipo_caso
2026-01-22,Alan Sosa,Aldosivi,Defensa y Justicia,VOL,m_0MqdAY,21.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Axel Werner,Aldosivi,Defensa y Justicia,ARQ,m_0MqdAY,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Esteban Rolón,Aldosivi,Defensa y Justicia,VOL,m_0MqdAY,84.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Fernando Román,Aldosivi,Defensa y Justicia,DEF,m_0MqdAY,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Franco Leys,Aldosivi,Defensa y Justicia,VOL,m_0MqdAY,16.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Matías Morello,Aldosivi,Defensa y Justicia,VOL,m_0MqdAY,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Rodrigo González,Aldosivi,Defensa y Justicia,DEF,m_0MqdAY,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Tomás Fernández,Aldosivi,Defensa y Justicia,VOL,m_0MqdAY,21.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Bruno Sepúlveda,Banfield,Huracán,DEL,m_4LyLYK,76.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Danilo Arboleda,Banfield,Huracán,DEF,m_4LyLYK,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Facundo Sanguinetti,Banfield,Huracán,ARQ,m_4LyLYK,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Lautaro Ríos,Banfield,Huracán,VOL,m_4LyLYK,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Lucas Palavecino,Banfield,Huracán,VOL,m_4LyLYK,9.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Mauro Méndez,Banfield,Huracán,DEL,m_4LyLYK,81.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Nicolás Meriano,Banfield,Huracán,DEF,m_4LyLYK,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Rodrigo Auzmendi,Banfield,Huracán,DEL,m_4LyLYK,14.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Santiago Esquivel,Banfield,Huracán,VOL,m_4LyLYK,79.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Sergio Vittor,Banfield,Huracán,DEF,m_4LyLYK,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Abiel Osorio,Defensa y Justicia,Aldosivi,DEL,m_0MqdAY,26.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Agustín Hausch,Defensa y Justicia,Aldosivi,DEF,m_0MqdAY,1.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Ayrton Portillo,Defensa y Justicia,Aldosivi,DEF,m_0MqdAY,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Cristopher Fiermarín,Defensa y Justicia,Aldosivi,ARQ,m_0MqdAY,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Damián Fernández,Defensa y Justicia,Aldosivi,DEF,m_0MqdAY,89.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,David Martínez,Defensa y Justicia,Aldosivi,DEF,m_0MqdAY,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Elías Pereyra,Defensa y Justicia,Aldosivi,DEF,m_0MqdAY,76.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Juan Miritello,Defensa y Justicia,Aldosivi,DEL,m_0MqdAY,89.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Julián López,Defensa y Justicia,Aldosivi,VOL,m_0MqdAY,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Lucas Souto,Defensa y Justicia,Aldosivi,DEF,m_0MqdAY,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Mateo Aguiar,Defensa y Justicia,Aldosivi,VOL,m_0MqdAY,14.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Nazareno Roselli,Defensa y Justicia,Aldosivi,DEF,m_0MqdAY,1.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Santiago Sosa,Defensa y Justicia,Aldosivi,VOL,m_0MqdAY,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,César Ibáñez,Huracán,Banfield,DEF,m_4LyLYK,19.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Emmanuel Ojeda,Huracán,Banfield,VOL,m_4LyLYK,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Eric Ramírez,Huracán,Banfield,VOL,m_4LyLYK,19.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Fabio Pereyra,Huracán,Banfield,DEF,m_4LyLYK,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Facundo Waller,Huracán,Banfield,VOL,m_4LyLYK,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Federico Vera,Huracán,Banfield,DEF,m_4LyLYK,80.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Jordy Caicedo,Huracán,Banfield,DEL,m_4LyLYK,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Leandro Lescano,Huracán,Banfield,DEF,m_4LyLYK,71.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Leonardo Gil,Huracán,Banfield,VOL,m_4LyLYK,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Leonardo Sequeira,Huracán,Banfield,DEL,m_4LyLYK,10.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Nehuén Paz,Huracán,Banfield,DEF,m_4LyLYK,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Oscar Cortés,Huracán,Banfield,DEL,m_4LyLYK,71.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-22,Thaiel Peralta,Huracán,Banfield,VOL,m_4LyLYK,57.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Carlos Abeldano,Atlético Tucumán,Independiente Rivadavia,DEL,m_1bOPPX,1.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Clever Ferreira,Atlético Tucumán,Independiente Rivadavia,DEF,m_1bOPPX,21.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Ezequiel Ham,Atlético Tucumán,Independiente Rivadavia,VOL,m_1bOPPX,69.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Franco Nicola,Atlético Tucumán,Independiente Rivadavia,VOL,m_1bOPPX,41.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Gabriel Compagnucci,Atlético Tucumán,Independiente Rivadavia,VOL,m_1bOPPX,89.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Gianluca Ferrari,Atlético Tucumán,Independiente Rivadavia,DEF,m_1bOPPX,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Ignacio Galván,Atlético Tucumán,Independiente Rivadavia,DEF,m_1bOPPX,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Leandro Díaz,Atlético Tucumán,Independiente Rivadavia,DEL,m_1bOPPX,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Luis Ingolotti,Atlético Tucumán,Independiente Rivadavia,ARQ,m_1bOPPX,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Nicolás Laméndola,Atlético Tucumán,Independiente Rivadavia,VOL,m_1bOPPX,89.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Renzo Tesuri,Atlético Tucumán,Independiente Rivadavia,VOL,m_1bOPPX,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Enzo Taborda,Barracas Central,River Plate,VOL,m_3L4LL7,8.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Facundo Bruera,Barracas Central,River Plate,DEL,m_3L4LL7,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Fernando Tobio,Barracas Central,River Plate,DEF,m_3L4LL7,82.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Gastón Campi,Barracas Central,River Plate,DEF,m_3L4LL7,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Gonzalo Morales,Barracas Central,River Plate,DEL,m_3L4LL7,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Iván Tapia,Barracas Central,River Plate,VOL,m_3L4LL7,82.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Manuel Duarte,Barracas Central,River Plate,VOL,m_3L4LL7,18.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Rafael Barrios,Barracas Central,River Plate,DEF,m_3L4LL7,71.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Rodrigo Insúa,Barracas Central,River Plate,VOL,m_3L4LL7,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Tomás Porra,Barracas Central,River Plate,VOL,m_3L4LL7,72.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Yonatthan Rak,Barracas Central,River Plate,DEF,m_3L4LL7,8.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Alejo Osella,Independiente Rivadavia,Atlético Tucumán,DEF,m_1bOPPX,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-24,Diego Crego,Independiente Rivadavia,Atlético Tucumán,VOL,m_1bOPPX,13.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
