perfil,tipo_registro,orden,player_id,player_name,team_name,position,rival,es_local,score_contextual,score_seleccion,partidos_historicos,participaciones_ultimos_3,titulares_ultimos_3,promedio,p90,std,factor_contexto,factor_confianza,score_diversidad,veces_usado_otros_equipos,score_flex,flex_repetido,titular_mismo_equipo,titular_otro_equipo,veces_flex_usado,perfil_flex,sim_promedio_equipo,sim_p50_equipo,sim_p90_equipo,sim_min_equipo,sim_max_equipo,prob_100,prob_140
SEGURO,TITULAR,1,p_2tK1WJ,Axel Werner,Rosario Central,ARQ,Argentinos Juniors,True,16.44419413333333,13.990726186666665,1,3,0,15.76,15.76,0.0,1.0719999999999998,0.9733333333333334,13.990726186666665,0,,,,,,,148.90982445123478,148.95079240624747,159.86508557864687,117.60944355088138,177.66428108601016,1.0,0.8498
SEGURO,TITULAR,2,p_2VOvJj,Gonzalo Montiel,River Plate,DEF,Huracán,True,15.171108810666663,12.093558568350312,24,3,3,11.039225000000002,17.59967,5.124238402817832,1.0879999999999999,1.0,12.093558568350312,0,,,,,,,148.90982445123478,148.95079240624747,159.86508557864687,117.60944355088138,177.66428108601016,1.0,0.8498
SEGURO,TITULAR,3,p_21gmQu,Marcos Acuña,River Plate,DEF,Huracán,True,14.448834751999998,11.520258154415131,20,3,3,10.532,18.227240000000002,5.782553184955768,1.0879999999999999,1.0,11.520258154415131,0,,,,,,,148.90982445123478,148.95079240624747,159.86508557864687,117.60944355088138,177.66428108601016,1.0,0.8498
SEGURO,TITULAR,4,p_39c8jY,Diego Sosa,Instituto,DEF,Talleres,True,14.091994184999999,11.391236376434344,26,3,3,11.008746153846154,16.06815,4.052048661428514,1.1179999999999999,1.0,11.391236376434344,0,,,,,,,148.90982445123478,148.95079240624747,159.86508557864687,117.60944355088138,177.66428108601016,1.0,0.8498
SEGURO,TITULAR,5,p_0Vhadv,Thiago Almada,River Plate,VOL,Huracán,True,18.86974539853926,15.553899642000108,5,3,3,16.2947,20.40322,4.063268416558276,1.0879999999999999,0.9706166843932788,15.553899642000108,0,,,,,,,148.90982445123478,148.95079240624747,159.86508557864687,117.60944355088138,177.66428108601016,1.0,0.8498
SEGURO,TITULAR,6,p_1vKOON,Ángel Di Maria,Rosario Central,VOL,Argentinos Juniors,True,17.64977939927273,14.113044922102372,22,3,3,13.105413636363638,25.76352000000002,6.6508809957274835,1.0719999999999998,1.0,14.113044922102372,0,,,,,,,148.90982445123478,148.95079240624747,159.86508557864687,117.60944355088138,177.66428108601016,1.0,0.8498
SEGURO,TITULAR,7,p_3I0XnJ,Giuliano Cerato,Instituto,VOL,Talleres,True,16.662797072666663,13.341254346231556,26,3,3,12.425053846153844,17.852,4.899593689948649,1.1179999999999999,1.0,13.341254346231556,0,,,,,,,148.90982445123478,148.95079240624747,159.86508557864687,117.60944355088138,177.66428108601016,1.0,0.8498
SEGURO,TITULAR,8,p_4bqyr6,Ronaldo Martínez,Vélez Sarsfield,DEL,Tigre,True,12.214519890569255,10.429514744816114,2,2,2,12.28105,14.22085,3.429114335364163,1.0179999999999998,0.9611822421261463,10.429514744816114,0,,,,,,,148.90982445123478,148.95079240624747,159.86508557864687,117.60944355088138,177.66428108601016,1.0,0.8498
SEGURO,TITULAR,9,p_3lcFKJ,Juan Gutiérrez,Defensa y Justicia,DEL,Central Córdoba de Santiago,False,11.770533490799998,9.306677491888648,25,3,3,8.173876,16.3094,6.124021613509649,1.0419999999999998,1.0,9.306677491888648,0,,,,,,,148.90982445123478,148.95079240624747,159.86508557864687,117.60944355088138,177.66428108601016,1.0,0.8498
SEGURO,TITULAR,10,p_0t17ZI,Alex Luna,Instituto,DEL,Talleres,True,11.646824626666664,9.223973836135876,24,3,3,8.137104166666667,14.354,4.743386530691664,1.1179999999999999,1.0,9.223973836135876,0,,,,,,,148.90982445123478,148.95079240624747,159.86508557864687,117.60944355088138,177.66428108601016,1.0,0.8498
SEGURO,FLEX,0,p_2ho6O3,Lucas Martínez Quarta,River Plate,DEF,Huracán,True,13.921744784761904,11.251328716862737,28,3,3,10.862717857142856,16.65921,4.05884527421774,1.0879999999999999,1.0,,,11.251328716862737,False,False,False,0,SEGURO,,,,,,,
SEGURO,FLEX,0,p_3x6Yqh,Leonel Mosevich,Instituto,DEF,Talleres,True,14.175053171333332,11.044941927215842,26,3,3,9.020226923076923,13.5747,4.532609317870464,1.1179999999999999,1.0,,,11.044941927215842,False,False,False,0,SEGURO,,,,,,,
SEGURO,FLEX,0,p_3TyKvJ,Ángel Correa,River Plate,VOL,Huracán,True,15.862828641486685,12.699493844030949,8,3,3,11.8420875,17.913149999999998,6.411899543914424,1.0879999999999999,0.9793650302752805,,,12.699493844030949,False,False,False,0,SEGURO,,,,,,,
SEGURO,FLEX,0,p_1aur1M,Julián Mavilla,Sarmiento,VOL,Racing Club,False,14.307892100992662,11.687086602964332,7,3,3,11.830514285714285,18.090940000000003,6.192906007529522,1.101,0.9761138506901658,,,11.687086602964332,False,False,False,0,SEGURO,,,,,,,
SEGURO,FLEX,0,p_2w9GwT,Oscar Cortés,Huracán,DEL,River Plate,False,10.759811501999998,8.801887892184915,26,3,3,8.918099999999999,14.919799999999999,5.14995663492422,0.963,1.0,,,8.801887892184915,False,False,False,0,SEGURO,,,,,,,
SEGURO,FLEX,0,p_4SyM9C,Leandro Fernández,Defensa y Justicia,DEL,Central Córdoba de Santiago,False,10.593445344371846,8.636154227156966,9,3,2,8.623,14.068620000000001,4.810630772570267,1.0419999999999998,0.9834419671087022,,,8.636154227156966,False,False,False,0,SEGURO,,,,,,,
INTERMEDIO,TITULAR,1,p_1vpaON,Thyago Ayala,Sarmiento,ARQ,Racing Club,False,13.713792637112556,13.832771686700651,6,3,3,11.871883333333335,16.4,5.103349571964149,1.101,0.9732768891514703,13.832771686700651,0,,,,,,,137.40672994078474,137.2358604603375,155.03307282427494,86.9466014105415,189.91819981309075,0.9973,0.4199
INTERMEDIO,TITULAR,2,p_2ho6O3,Lucas Martínez Quarta,River Plate,DEF,Huracán,True,13.921744784761904,13.688403010285715,28,3,3,10.862717857142856,16.65921,4.05884527421774,1.0879999999999999,1.0,13.688403010285715,0,,,,,,,137.40672994078474,137.2358604603375,155.03307282427494,86.9466014105415,189.91819981309075,0.9973,0.4199
INTERMEDIO,TITULAR,3,p_0pvncd,Francisco Álvarez,Argentinos Juniors,DEF,Rosario Central,False,12.984923828592592,13.33747683397778,27,3,3,11.370370370370368,16.332600000000006,4.042524714906116,1.057,1.0,13.33747683397778,0,,,,,,,137.40672994078474,137.2358604603375,155.03307282427494,86.9466014105415,189.91819981309075,0.9973,0.4199
INTERMEDIO,TITULAR,4,p_1CLF1j,David Martínez,Defensa y Justicia,DEF,Central Córdoba de Santiago,False,13.235479173894733,12.769651154568418,19,3,3,10.132368421052632,15.095899999999997,4.505007595511247,1.0419999999999998,1.0,12.769651154568418,0,,,,,,,137.40672994078474,137.2358604603375,155.03307282427494,86.9466014105415,189.91819981309075,0.9973,0.4199
INTERMEDIO,TITULAR,5,p_3TyKvJ,Ángel Correa,River Plate,VOL,Huracán,True,15.862828641486685,15.169186638669007,8,3,3,11.8420875,17.913149999999998,6.411899543914424,1.0879999999999999,0.9793650302752805,15.169186638669007,0,,,,,,,137.40672994078474,137.2358604603375,155.03307282427494,86.9466014105415,189.91819981309075,0.9973,0.4199
INTERMEDIO,TITULAR,6,p_0Vhadv,Thiago Almada,River Plate,VOL,Huracán,True,18.86974539853926,18.48060042934267,5,3,3,16.2947,20.40322,4.063268416558276,1.0879999999999999,0.9706166843932788,15.15409235206099,1,,,,,,,137.40672994078474,137.2358604603375,155.03307282427494,86.9466014105415,189.91819981309075,0.9973,0.4199
INTERMEDIO,TITULAR,7,p_1vKOON,Ángel Di Maria,Rosario Central,VOL,Argentinos Juniors,True,17.64977939927273,18.314904820581823,22,3,3,13.105413636363638,25.76352000000002,6.6508809957274835,1.0719999999999998,1.0,15.018221952877097,1,,,,,,,137.40672994078474,137.2358604603375,155.03307282427494,86.9466014105415,189.91819981309075,0.9973,0.4199
INTERMEDIO,TITULAR,8,p_2w9GwT,Oscar Cortés,Huracán,DEL,River Plate,False,10.759811501999998,11.2472951759,26,3,3,8.918099999999999,14.919799999999999,5.14995663492422,0.963,1.0,11.2472951759,0,,,,,,,137.40672994078474,137.2358604603375,155.03307282427494,86.9466014105415,189.91819981309075,0.9973,0.4199
INTERMEDIO,TITULAR,9,p_14TOcz,Agustín Álvarez,Talleres,DEL,Instituto,False,9.615110900685263,11.00718240530837,4,3,3,8.6927,16.290290000000002,7.715821431750911,0.899,0.9656280109098084,11.00718240530837,0,,,,,,,137.40672994078474,137.2358604603375,155.03307282427494,86.9466014105415,189.91819981309075,0.9973,0.4199
INTERMEDIO,TITULAR,10,p_4SyM9C,Leandro Fernández,Defensa y Justicia,DEL,Central Córdoba de Santiago,False,10.593445344371846,10.87110540496733,9,3,2,8.623,14.068620000000001,4.810630772570267,1.0419999999999998,0.9834419671087022,10.87110540496733,0,,,,,,,137.40672994078474,137.2358604603375,155.03307282427494,86.9466014105415,189.91819981309075,0.9973,0.4199
INTERMEDIO,FLEX,0,p_0ZUeue,Thiago Silvero,Vélez Sarsfield,DEF,Tigre,True,12.23180766026664,12.757668447119986,12,3,3,9.821366666666666,17.22778,5.782981233732042,1.0179999999999998,0.9929485559978464,,,12.757668447119986,False,False,False,0,INTERMEDIO,,,,,,,
INTERMEDIO,FLEX,0,p_2ralsZ,Facundo Zabala,Independiente,DEF,Unión,False,12.460376031420289,12.596520518486956,23,3,3,10.003904347826087,15.952720000000001,5.135643915941201,1.073,1.0,,,12.596520518486956,False,False,False,0,INTERMEDIO,,,,,,,
INTERMEDIO,FLEX,0,p_4PWEjP,Franco Ibarra,Rosario Central,VOL,Argentinos Juniors,True,14.1522487712,14.22510014704,25,3,3,11.657444,17.43742,4.388265826523426,1.0719999999999998,1.0,,,14.22510014704,False,False,False,0,INTERMEDIO,,,,,,,
