Perfil;Tipo;Orden;Posición;Jugador;Club;Rival;Local;Score;Score selección;Historial;Participaciones últimos 3;Titulares últimos 3;Promedio;P90;Factor contexto;Factor confianza;Score diversidad;Usado en otros equipos;Score FLEX;FLEX repetido;FLEX usado antes;Titular mismo equipo;Titular otro equipo;Sim promedio;Sim P50;Sim P90;Sim mínimo;Sim máximo;Prob ≥100;Prob ≥140
SEGURO;TITULAR;1;ARQ;Axel Werner;Rosario Central;Argentinos Juniors;True;16.444;13.991;1;3;0;15.76;15.76;1.072;0.973;13.991;0;;;;;;148.91;148.951;159.865;117.609;177.664;100.0;84.98
SEGURO;TITULAR;2;DEF;Gonzalo Montiel;River Plate;Huracán;True;15.171;12.094;24;3;3;11.039;17.6;1.088;1.0;12.094;0;;;;;;148.91;148.951;159.865;117.609;177.664;100.0;84.98
SEGURO;TITULAR;3;DEF;Marcos Acuña;River Plate;Huracán;True;14.449;11.52;20;3;3;10.532;18.227;1.088;1.0;11.52;0;;;;;;148.91;148.951;159.865;117.609;177.664;100.0;84.98
SEGURO;TITULAR;4;DEF;Diego Sosa;Instituto;Talleres;True;14.092;11.391;26;3;3;11.009;16.068;1.118;1.0;11.391;0;;;;;;148.91;148.951;159.865;117.609;177.664;100.0;84.98
SEGURO;TITULAR;5;VOL;Thiago Almada;River Plate;Huracán;True;18.87;15.554;5;3;3;16.295;20.403;1.088;0.971;15.554;0;;;;;;148.91;148.951;159.865;117.609;177.664;100.0;84.98
SEGURO;TITULAR;6;VOL;Ángel Di Maria;Rosario Central;Argentinos Juniors;True;17.65;14.113;22;3;3;13.105;25.764;1.072;1.0;14.113;0;;;;;;148.91;148.951;159.865;117.609;177.664;100.0;84.98
SEGURO;TITULAR;7;VOL;Giuliano Cerato;Instituto;Talleres;True;16.663;13.341;26;3;3;12.425;17.852;1.118;1.0;13.341;0;;;;;;148.91;148.951;159.865;117.609;177.664;100.0;84.98
SEGURO;TITULAR;8;DEL;Ronaldo Martínez;Vélez Sarsfield;Tigre;True;12.215;10.43;2;2;2;12.281;14.221;1.018;0.961;10.43;0;;;;;;148.91;148.951;159.865;117.609;177.664;100.0;84.98
SEGURO;TITULAR;9;DEL;Juan Gutiérrez;Defensa y Justicia;Central Córdoba de Santiago;False;11.771;9.307;25;3;3;8.174;16.309;1.042;1.0;9.307;0;;;;;;148.91;148.951;159.865;117.609;177.664;100.0;84.98
SEGURO;TITULAR;10;DEL;Alex Luna;Instituto;Talleres;True;11.647;9.224;24;3;3;8.137;14.354;1.118;1.0;9.224;0;;;;;;148.91;148.951;159.865;117.609;177.664;100.0;84.98
SEGURO;FLEX;0;DEF;Lucas Martínez Quarta;River Plate;Huracán;True;13.922;11.251;28;3;3;10.863;16.659;1.088;1.0;;;11.251;False;0;False;False;;;;;;;
SEGURO;FLEX;0;DEF;Leonel Mosevich;Instituto;Talleres;True;14.175;11.045;26;3;3;9.02;13.575;1.118;1.0;;;11.045;False;0;False;False;;;;;;;
SEGURO;FLEX;0;VOL;Ángel Correa;River Plate;Huracán;True;15.863;12.699;8;3;3;11.842;17.913;1.088;0.979;;;12.699;False;0;False;False;;;;;;;
SEGURO;FLEX;0;VOL;Julián Mavilla;Sarmiento;Racing Club;False;14.308;11.687;7;3;3;11.831;18.091;1.101;0.976;;;11.687;False;0;False;False;;;;;;;
SEGURO;FLEX;0;DEL;Oscar Cortés;Huracán;River Plate;False;10.76;8.802;26;3;3;8.918;14.92;0.963;1.0;;;8.802;False;0;False;False;;;;;;;
SEGURO;FLEX;0;DEL;Leandro Fernández;Defensa y Justicia;Central Córdoba de Santiago;False;10.593;8.636;9;3;2;8.623;14.069;1.042;0.983;;;8.636;False;0;False;False;;;;;;;
INTERMEDIO;TITULAR;1;ARQ;Thyago Ayala;Sarmiento;Racing Club;False;13.714;13.833;6;3;3;11.872;16.4;1.101;0.973;13.833;0;;;;;;137.407;137.236;155.033;86.947;189.918;99.73;41.99
INTERMEDIO;TITULAR;2;DEF;Lucas Martínez Quarta;River Plate;Huracán;True;13.922;13.688;28;3;3;10.863;16.659;1.088;1.0;13.688;0;;;;;;137.407;137.236;155.033;86.947;189.918;99.73;41.99
INTERMEDIO;TITULAR;3;DEF;Francisco Álvarez;Argentinos Juniors;Rosario Central;False;12.985;13.337;27;3;3;11.37;16.333;1.057;1.0;13.337;0;;;;;;137.407;137.236;155.033;86.947;189.918;99.73;41.99
INTERMEDIO;TITULAR;4;DEF;David Martínez;Defensa y Justicia;Central Córdoba de Santiago;False;13.235;12.77;19;3;3;10.132;15.096;1.042;1.0;12.77;0;;;;;;137.407;137.236;155.033;86.947;189.918;99.73;41.99
INTERMEDIO;TITULAR;5;VOL;Ángel Correa;River Plate;Huracán;True;15.863;15.169;8;3;3;11.842;17.913;1.088;0.979;15.169;0;;;;;;137.407;137.236;155.033;86.947;189.918;99.73;41.99
INTERMEDIO;TITULAR;6;VOL;Thiago Almada;River Plate;Huracán;True;18.87;18.481;5;3;3;16.295;20.403;1.088;0.971;15.154;1;;;;;;137.407;137.236;155.033;86.947;189.918;99.73;41.99
INTERMEDIO;TITULAR;7;VOL;Ángel Di Maria;Rosario Central;Argentinos Juniors;True;17.65;18.315;22;3;3;13.105;25.764;1.072;1.0;15.018;1;;;;;;137.407;137.236;155.033;86.947;189.918;99.73;41.99
INTERMEDIO;TITULAR;8;DEL;Oscar Cortés;Huracán;River Plate;False;10.76;11.247;26;3;3;8.918;14.92;0.963;1.0;11.247;0;;;;;;137.407;137.236;155.033;86.947;189.918;99.73;41.99
INTERMEDIO;TITULAR;9;DEL;Agustín Álvarez;Talleres;Instituto;False;9.615;11.007;4;3;3;8.693;16.29;0.899;0.966;11.007;0;;;;;;137.407;137.236;155.033;86.947;189.918;99.73;41.99
INTERMEDIO;TITULAR;10;DEL;Leandro Fernández;Defensa y Justicia;Central Córdoba de Santiago;False;10.593;10.871;9;3;2;8.623;14.069;1.042;0.983;10.871;0;;;;;;137.407;137.236;155.033;86.947;189.918;99.73;41.99
INTERMEDIO;FLEX;0;DEF;Thiago Silvero;Vélez Sarsfield;Tigre;True;12.232;12.758;12;3;3;9.821;17.228;1.018;0.993;;;12.758;False;0;False;False;;;;;;;
