player_id,player_name,team_id,team_name,position,rival,es_local,partidos_historicos,partidos_club_ultimos_3,participaciones_ultimos_3,activo_ultimos_3,titulares_ultimos_3,titular_2_de_3,weighted_recent,promedio,p90,std,minimo,maximo,confianza,estabilidad,factor_confianza,factor_contexto,score_base,score_contextual,fecha_partido,matchup_arq,matchup_def,matchup_vol,matchup_del,matchup_score,matchup_variables_usadas,starter_fecha10,prediccion_modelo_c,prom_ultimos_5_minutes_played,prom_ultimos_5_participacion,prom_ultimos_5_area_rival,prom_ultimos_5_ultimo_tercio,prom_ultimos_5_carreras_progresivas,prom_ultimos_5_duelos,prom_ultimos_5_perdidas,prom_ultimos_5_regates_fallidos,prom_ultimos_5_exceso_perdidas,prom_ultimos_5_pases,prom_ultimos_5_peligro_creado,prom_ultimos_5_defensa,prom_ultimos_5_arquero,prom_ultimos_5_accurate_passes,prom_ultimos_5_passes,prom_ultimos_5_progressive_passes,prom_ultimos_5_precision_pases,prom_ultimos_5_passes_into_final_third,prom_ultimos_5_long_balls_accurate,prom_ultimos_5_accurate_crosses,prom_ultimos_5_progressive_carries,prom_ultimos_5_take_ons,prom_ultimos_5_take_ons_won,prom_ultimos_5_failed_dribbles,prom_ultimos_5_miscontrols,prom_ultimos_5_dispossessed,prom_ultimos_5_duels_won,prom_ultimos_5_duels_lost,prom_ultimos_5_tackles,prom_ultimos_5_interceptions,prom_ultimos_5_recoveries,prom_ultimos_5_clearances,prom_ultimos_5_blocks,prom_ultimos_5_dribbled_past,prom_ultimos_5_shots_on_target,prom_ultimos_5_goals,prom_ultimos_5_assists,prom_ultimos_5_chances_created,prom_ultimos_5_saves,prom_ultimos_5_saved_penalties,prom_ultimos_5_goals_conceded,minutos_promedio_historico,partidos_historicos_minutos,minutos_promedio_ultimos_5,historico_ballPossession,historico_totalShotsOnGoal,historico_shotsOnGoal,historico_shotsOffGoal,historico_totalShotsInsideBox,historico_totalShotsOutsideBox,historico_expectedGoals,historico_expectedGoalsOnTarget,historico_bigChanceCreated,historico_bigChanceMissed,historico_touchesInOppBox,historico_finalThirdEntries,historico_fouledFinalThird,historico_cornerKicks,historico_fouls,historico_passes,historico_accuratePasses,historico_accurateCross,historico_accurateLongBalls,historico_duelWonPercent,historico_dispossessed,historico_groundDuelsPercentage,historico_aerialDuelsPercentage,historico_dribblesPercentage,historico_wonTacklePercent,historico_totalTackle,historico_interceptionWon,historico_ballRecovery,historico_totalClearance,historico_goalkeeperSaves,historico_freeKicks,historico_offsides,historico_yellowCards,historico_blockedScoringAttempt,rival_historico_ballPossession,rival_historico_totalShotsOnGoal,rival_historico_shotsOnGoal,rival_historico_shotsOffGoal,rival_historico_totalShotsInsideBox,rival_historico_totalShotsOutsideBox,rival_historico_expectedGoals,rival_historico_expectedGoalsOnTarget,rival_historico_bigChanceCreated,rival_historico_bigChanceMissed,rival_historico_touchesInOppBox,rival_historico_finalThirdEntries,rival_historico_fouledFinalThird,rival_historico_cornerKicks,rival_historico_fouls,rival_historico_passes,rival_historico_accuratePasses,rival_historico_accurateCross,rival_historico_accurateLongBalls,rival_historico_duelWonPercent,rival_historico_dispossessed,rival_historico_groundDuelsPercentage,rival_historico_aerialDuelsPercentage,rival_historico_dribblesPercentage,rival_historico_wonTacklePercent,rival_historico_totalTackle,rival_historico_interceptionWon,rival_historico_ballRecovery,rival_historico_totalClearance,rival_historico_goalkeeperSaves,rival_historico_freeKicks,rival_historico_offsides,rival_historico_yellowCards,rival_historico_blockedScoringAttempt,matchup_diferencia_ballPossession,matchup_ratio_ballPossession,matchup_diferencia_totalShotsOnGoal,matchup_ratio_totalShotsOnGoal,matchup_diferencia_shotsOnGoal,matchup_ratio_shotsOnGoal,matchup_diferencia_shotsOffGoal,matchup_ratio_shotsOffGoal,matchup_diferencia_totalShotsInsideBox,matchup_ratio_totalShotsInsideBox,matchup_diferencia_totalShotsOutsideBox,matchup_ratio_totalShotsOutsideBox,matchup_diferencia_expectedGoals,matchup_ratio_expectedGoals,matchup_diferencia_expectedGoalsOnTarget,matchup_ratio_expectedGoalsOnTarget,matchup_diferencia_bigChanceCreated,matchup_ratio_bigChanceCreated,matchup_diferencia_bigChanceMissed,matchup_ratio_bigChanceMissed,matchup_diferencia_touchesInOppBox,matchup_ratio_touchesInOppBox,matchup_diferencia_finalThirdEntries,matchup_ratio_finalThirdEntries,matchup_diferencia_fouledFinalThird,matchup_ratio_fouledFinalThird,matchup_diferencia_cornerKicks,matchup_ratio_cornerKicks,matchup_diferencia_fouls,matchup_ratio_fouls,matchup_diferencia_passes,matchup_ratio_passes,matchup_diferencia_accuratePasses,matchup_ratio_accuratePasses,matchup_diferencia_accurateCross,matchup_ratio_accurateCross,matchup_diferencia_accurateLongBalls,matchup_ratio_accurateLongBalls,matchup_diferencia_duelWonPercent,matchup_ratio_duelWonPercent,matchup_diferencia_dispossessed,matchup_ratio_dispossessed,matchup_diferencia_groundDuelsPercentage,matchup_ratio_groundDuelsPercentage,matchup_diferencia_aerialDuelsPercentage,matchup_ratio_aerialDuelsPercentage,matchup_diferencia_dribblesPercentage,matchup_ratio_dribblesPercentage,matchup_diferencia_wonTacklePercent,matchup_ratio_wonTacklePercent,matchup_diferencia_totalTackle,matchup_ratio_totalTackle,matchup_diferencia_interceptionWon,matchup_ratio_interceptionWon,matchup_diferencia_ballRecovery,matchup_ratio_ballRecovery,matchup_diferencia_totalClearance,matchup_ratio_totalClearance,matchup_diferencia_goalkeeperSaves,matchup_ratio_goalkeeperSaves,matchup_diferencia_freeKicks,matchup_ratio_freeKicks,matchup_diferencia_offsides,matchup_ratio_offsides,matchup_diferencia_yellowCards,matchup_ratio_yellowCards,matchup_diferencia_blockedScoringAttempt,matchup_ratio_blockedScoringAttempt,matchup_ataque_xg_diferencia,matchup_ataque_xg_ratio,matchup_ataque_tiros_arco_diferencia,matchup_ataque_tiros_arco_ratio,matchup_pases_precisos_diferencia,matchup_pases_precisos_ratio,matchup_posesion_diferencia,matchup_posesion_ratio,matchup_fouls_diferencia,matchup_fouls_ratio,matchup_freeKicks_diferencia,matchup_freeKicks_ratio,pre_sim_n,pre_sim_media,pre_sim_p50,pre_sim_p75,pre_sim_p90,pre_sim_p95,pre_sim_std,pre_sim_prob_10,pre_sim_prob_15,pre_sim_media_ajustada,pre_sim_p50_ajustada,pre_sim_p75_ajustada,pre_sim_p90_ajustada,pre_sim_p95_ajustada,score_pre_sim_SEGURO,score_pre_sim_INTERMEDIO,score_pre_sim_ARRIESGADO,score_seleccion_original,score_seleccion,_club,_position,veces_usado_otros_equipos,score_diversidad,motor,perfil,tipo_registro
p_2tK1WJ,Axel Werner,t_1rEb7t,Rosario Central,ARQ,Argentinos Juniors,True,1,3,3,True,0,False,15.76,15.76,15.76,0.0,15.76,15.76,0.7333333333333334,1.0,0.9733333333333334,1.015,15.76,15.569829333333331,2026-09-20 20:00:00,0.4681466612802774,,,,0.4681466612802774,9.0,False,7.5205623530242764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15.76,15.76,15.76,15.76,15.76,0.0,1.0,1.0,15.569829333333331,15.569829333333331,15.569829333333331,15.569829333333331,15.569829333333331,15.569829333333331,15.569829333333331,15.569829333333331,15.569829333333331,15.569829333333331,Rosario Central,ARQ,0,15.569829333333331,PRE_SIMULACION,SEGURO,TITULAR
p_15HxSV,Sebastián Zaracho,t_1rEb7t,Rosario Central,DEF,Argentinos Juniors,True,2,3,3,True,0,False,6.830000000000001,9.93,17.37,13.152186130069783,0.63,19.23,0.5807987589216612,0.07066046127497258,0.9580798758921661,1.015,10.705000000000002,10.410088747497024,2026-09-20 20:00:00,,0.6512398549163255,,,0.6512398549163255,16.0,False,6.218483552578269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9.956040000000002,19.23,19.23,19.23,19.23,9.299963543928547,0.5014,0.5014,10.410088747497024,19.684048747497023,19.684048747497023,19.684048747497023,19.684048747497023,19.684048747497023,19.684048747497023,19.684048747497023,19.684048747497023,19.684048747497023,Rosario Central,DEF,0,19.684048747497023,PRE_SIMULACION,SEGURO,TITULAR
p_2ho6O3,Lucas Martínez Quarta,t_1Fzy5s,River Plate,DEF,Huracán,True,28,3,3,True,3,True,12.245233333333333,10.862717857142856,16.65921,4.05884527421774,4.1867,18.2425,1.0,0.19767356892618784,1.0,1.086,12.79572130952381,13.896153342142858,2026-09-19 22:00:00,,0.7293893129770993,,,0.7293893129770993,14.0,True,6.218483552578269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,10.874095579999999,10.8436,13.5292,17.5081,17.9294,3.988874551404752,0.5721,0.145,13.896153342142858,13.86565776214286,16.55125776214286,20.530157762142856,20.95145776214286,13.86565776214286,16.55125776214286,20.530157762142856,13.86565776214286,13.86565776214286,River Plate,DEF,0,13.86565776214286,PRE_SIMULACION,SEGURO,TITULAR
p_1dtHf7,Lucas Carrizo,t_3mLGSt,Newell's Old Boys,DEF,Club Atlético Platense,False,4,3,3,True,2,True,11.488040000000002,12.233900000000002,14.828800000000001,3.796542376075017,6.768,14.8588,0.67503003573246,0.20848351199563345,0.967503003573246,0.8869999999999999,12.621574000000003,10.831521339527105,2026-09-20 20:00:00,,0.6836497890295359,,,0.6836497890295359,14.0,True,6.218483552578269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12.21729528,14.7588,14.7588,14.8588,14.8588,3.304365612155187,0.7466,0.0,10.831521339527105,13.373026059527106,13.373026059527106,13.473026059527106,13.473026059527106,13.373026059527106,13.373026059527106,13.473026059527106,13.373026059527106,13.373026059527106,Newell's Old Boys,DEF,0,13.373026059527106,PRE_SIMULACION,SEGURO,TITULAR
p_0Vhadv,Thiago Almada,t_1Fzy5s,River Plate,VOL,Huracán,True,5,3,3,True,3,True,17.856766666666665,16.2947,20.40322,4.063268416558276,12.4173,22.2991,0.706166843932787,0.19750088633060137,0.9706166843932788,1.086,17.868553333333335,18.835058366556655,2026-09-19 22:00:00,,,0.7424031380083252,,0.7424031380083252,15.0,True,6.15386449878545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16.33191331,16.5485,17.5594,22.2991,22.2991,3.6416814477364494,1.0,0.6043,18.835058366556655,19.051645056556655,20.062545056556655,24.802245056556654,24.802245056556654,19.051645056556655,20.062545056556655,24.802245056556654,19.051645056556655,19.051645056556655,River Plate,VOL,0,19.051645056556655,PRE_SIMULACION,SEGURO,TITULAR
p_3TyKvJ,Ángel Correa,t_1Fzy5s,River Plate,VOL,Huracán,True,8,3,3,True,3,True,16.20536,11.8420875,17.913149999999998,6.411899543914424,1.7,21.4457,0.7936503027528048,0.13491818043069065,0.9793650302752805,1.086,14.8869985,15.833669030013365,2026-09-19 22:00:00,,,0.7456045125585357,,0.7456045125585357,15.0,True,6.15386449878545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,11.961180660000002,14.7344,16.3992,21.4457,21.4457,5.962771519048668,0.633,0.2535,15.833669030013365,18.606888370013365,20.271688370013365,25.31818837001336,25.31818837001336,18.606888370013365,20.271688370013365,25.31818837001336,18.606888370013365,18.606888370013365,River Plate,VOL,0,18.606888370013365,PRE_SIMULACION,SEGURO,TITULAR
p_1AncBV,Carlos Palacios,t_0otcXZ,Boca Juniors,VOL,San Lorenzo,False,2,3,3,True,1,False,9.650966666666667,7.88145,12.12829,7.507423406535693,2.5729,13.19,0.5901755471399663,0.11754440236649863,0.9590175547139966,1.028,9.562490833333333,9.427373280085174,2026-09-20 17:45:00,,,0.6953357100415923,,0.6953357100415923,15.0,False,6.15386449878545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7.894190519999998,13.19,13.19,13.19,13.19,5.3085347113539845,0.5012,0.0,9.427373280085174,14.723182760085177,14.723182760085177,14.723182760085177,14.723182760085177,14.723182760085177,14.723182760085177,14.723182760085177,14.723182760085177,14.723182760085177,Boca Juniors,VOL,0,14.723182760085177,PRE_SIMULACION,SEGURO,TITULAR
p_4bqyr6,Ronaldo Martínez,t_2eRs85,Vélez Sarsfield,DEL,Tigre,True,2,3,2,True,2,True,11.4728,12.28105,14.22085,3.429114335364163,9.8563,14.7058,0.6118224212614634,0.22577877297398322,0.9611822421261463,0.955,12.4831125,11.458611488697093,2026-09-21 00:30:00,,,,0.7828703703703703,0.7828703703703703,10.0,True,5.577128809735925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12.281534949999998,14.7058,14.7058,14.7058,14.7058,2.424749951505,0.5001,0.0,11.458611488697093,13.882876538697095,13.882876538697095,13.882876538697095,13.882876538697095,13.882876538697095,13.882876538697095,13.882876538697095,13.882876538697095,13.882876538697095,Vélez Sarsfield,DEL,0,13.882876538697095,PRE_SIMULACION,SEGURO,TITULAR
p_2w9GwT,Oscar Cortés,t_2qXAzu,Huracán,DEL,River Plate,False,26,3,3,True,3,True,11.074373333333334,8.918099999999999,14.919799999999999,5.14995663492422,0.765,22.7258,1.0,0.1626027725661064,1.0,1.015,11.173220666666666,11.340818976666664,2026-09-19 22:00:00,,,,0.5751480320445839,0.5751480320445839,11.0,True,5.577128809735925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,8.96275092,9.2489,11.6352,15.4775,16.2383,4.970145313685622,0.4277,0.1128,11.340818976666664,11.626968056666666,14.013268056666664,17.855568056666662,18.616368056666666,11.626968056666666,14.013268056666664,17.855568056666662,11.626968056666666,11.626968056666666,Huracán,DEL,0,11.626968056666666,PRE_SIMULACION,SEGURO,TITULAR
p_4SyM9C,Leandro Fernández,t_1DVMAZ,Defensa y Justicia,DEL,Central Córdoba,False,9,3,3,True,2,True,9.632200000000001,8.623,14.068620000000001,4.810630772570267,2.7289,16.1939,0.8344196710870225,0.17209835543511248,0.9834419671087022,0.999,10.337625000000001,10.156287810966866,2026-09-18 21:00:00,,,,0.7910943223443224,0.7910943223443224,11.0,True,5.577128809735925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8.59583627,8.8745,12.3938,16.1939,16.1939,4.56208493435178,0.3356,0.1121,10.156287810966866,10.434951540966866,13.954251540966867,17.754351540966866,17.754351540966866,10.434951540966866,13.954251540966867,17.754351540966866,10.434951540966866,10.434951540966866,Defensa y Justicia,DEL,0,10.434951540966866,PRE_SIMULACION,SEGURO,TITULAR
