perfil,tipo_registro,orden,player_id,player_name,team_name,position,rival,es_local,score_contextual,score_seleccion,partidos_historicos,participaciones_ultimos_3,titulares_ultimos_3,promedio,p90,std,factor_contexto,factor_confianza,matchup_score,matchup_variables_usadas,prediccion_modelo_c,score_diversidad,veces_usado_otros_equipos,score_flex,flex_repetido,titular_mismo_equipo,titular_otro_equipo,veces_flex_usado,perfil_flex,sim_promedio_equipo,sim_p50_equipo,sim_p90_equipo,sim_min_equipo,sim_max_equipo,prob_100,prob_140
SEGURO,TITULAR,1,p_2tK1WJ,Axel Werner,Rosario Central,ARQ,Banfield,False,15.725025558890056,11.543582541975422,2,3,1,14.895,15.587,1.2232947314527276,1.088,0.96566232509965,0.5232841810966811,9.0,7.5205623530242764,11.543582541975422,0,,,,,,,152.79875762090333,152.70361650184142,164.82506368332363,116.29730378106649,190.346851015367,1.0,0.9131
SEGURO,TITULAR,2,p_2VOvJj,Gonzalo Montiel,River Plate,DEF,Sarmiento,False,15.143220743,10.318346992830367,24,3,3,11.039225000000002,17.59967,5.124238402817832,1.086,1.0,0.7143034825870647,14.0,6.218483552578269,10.318346992830367,0,,,,,,,152.79875762090333,152.70361650184142,164.82506368332363,116.29730378106649,190.346851015367,1.0,0.9131
SEGURO,TITULAR,3,p_21gmQu,Marcos Acuña,River Plate,DEF,Sarmiento,False,14.422274394000002,9.917640810974072,20,3,3,10.532,18.227240000000002,5.782553184955768,1.086,1.0,0.7143034825870647,14.0,6.218483552578269,9.917640810974072,0,,,,,,,152.79875762090333,152.70361650184142,164.82506368332363,116.29730378106649,190.346851015367,1.0,0.9131
SEGURO,TITULAR,4,p_1PvYK3,Lautaro Blanco,Boca Juniors,DEF,Club Atlético Unión de Santa Fe,True,13.828708471043479,9.806830644811223,23,3,2,11.656669565217392,17.467119999999998,5.0730551813599005,1.098,1.0,0.8017361111111111,14.0,6.218483552578269,9.806830644811223,0,,,,,,,152.79875762090333,152.70361650184142,164.82506368332363,116.29730378106649,190.346851015367,1.0,0.9131
SEGURO,TITULAR,5,p_0Vhadv,Thiago Almada,River Plate,VOL,Sarmiento,False,18.835058366556655,12.718106499483625,5,3,3,16.2947,20.40322,4.063268416558276,1.086,0.9706166843932788,0.7424031380083252,15.0,6.15386449878545,12.718106499483625,0,,,,,,,152.79875762090333,152.70361650184142,164.82506368332363,116.29730378106649,190.346851015367,1.0,0.9131
SEGURO,TITULAR,6,p_1vKOON,Ángel Di Maria,Rosario Central,VOL,Banfield,False,16.88455047513044,11.354973230062862,23,3,3,12.945878260869568,24.797040000000006,6.542855422100195,1.088,1.0,0.6420812603648425,15.0,6.15386449878545,11.354973230062862,0,,,,,,,152.79875762090333,152.70361650184142,164.82506368332363,116.29730378106649,190.346851015367,1.0,0.9131
SEGURO,TITULAR,7,p_02UzGW,Leandro Paredes,Boca Juniors,VOL,Club Atlético Unión de Santa Fe,True,14.430039159000001,10.165850851867066,20,3,0,12.39456,18.295910000000003,4.589481375172213,1.098,1.0,0.7746527777777779,15.0,6.15386449878545,10.165850851867066,0,,,,,,,152.79875762090333,152.70361650184142,164.82506368332363,116.29730378106649,190.346851015367,1.0,0.9131
SEGURO,TITULAR,8,p_4bqyr6,Ronaldo Martínez,Vélez Sarsfield,DEL,Club Atlético Platense,True,17.639357499118525,11.863837375980504,3,3,3,15.353266666666665,20.139319999999998,5.847645535028036,1.081,0.9629207119290409,0.7553530092592592,11.0,5.577128809735925,11.863837375980504,0,,,,,,,152.79875762090333,152.70361650184142,164.82506368332363,116.29730378106649,190.346851015367,1.0,0.9131
SEGURO,TITULAR,9,p_1LtoAE,Álex Arce,Independiente Rivadavia,DEL,Gimnasia y Esgrima,True,13.449302805666667,8.915589018496599,18,3,3,7.929233333333333,19.300220000000003,7.123833635059146,1.087,1.0,0.647596963502899,11.0,5.577128809735925,8.915589018496599,0,,,,,,,152.79875762090333,152.70361650184142,164.82506368332363,116.29730378106649,190.346851015367,1.0,0.9131
SEGURO,TITULAR,10,p_3lcFKJ,Juan Gutiérrez,Defensa y Justicia,DEL,San Lorenzo,True,12.414411042600003,8.480777173311832,25,3,3,8.173876,16.3094,6.124021613509649,1.0990000000000002,1.0,0.5063222807788025,11.0,5.577128809735925,8.480777173311832,0,,,,,,,152.79875762090333,152.70361650184142,164.82506368332363,116.29730378106649,190.346851015367,1.0,0.9131
SEGURO,FLEX,0,p_2ho6O3,Lucas Martínez Quarta,River Plate,DEF,Sarmiento,False,13.896153342142858,9.72983106118573,28,3,3,10.862717857142856,16.65921,4.05884527421774,1.086,1.0,,,,,,9.72983106118573,False,False,False,0,SEGURO,,,,,,,
SEGURO,FLEX,0,p_1CLF1j,David Martínez,Defensa y Justicia,DEF,San Lorenzo,True,13.959492909894738,9.654719461888565,19,3,3,10.132368421052632,15.095899999999997,4.505007595511247,1.0990000000000002,1.0,,,,,,9.654719461888565,False,False,False,0,SEGURO,,,,,,,
SEGURO,FLEX,0,p_3TyKvJ,Ángel Correa,River Plate,VOL,Sarmiento,False,15.833669030013365,10.722537417236937,8,3,3,11.8420875,17.913149999999998,6.411899543914424,1.086,0.9793650302752805,,,,,,10.722537417236937,False,False,False,0,SEGURO,,,,,,,
SEGURO,FLEX,0,p_3SmwDm,José Florentín,Independiente Rivadavia,VOL,Gimnasia y Esgrima,True,14.494906765833333,10.010532996502201,24,3,3,11.068654166666667,17.036530000000003,4.362755944601508,1.087,1.0,,,,,,10.010532996502201,False,False,False,0,SEGURO,,,,,,,
