Perfil;Tipo;Orden;Posición;Jugador;Club;Rival;Local;Matchup score;Predicción Modelo C;Score;Score selección;Historial;Participaciones últimos 3;Titulares últimos 3;Promedio;P90;Factor contexto;Factor confianza;Score diversidad;Usado en otros equipos;Score FLEX;FLEX repetido;FLEX usado antes;Titular mismo equipo;Titular otro equipo;Sim promedio;Sim P50;Sim P90;Sim mínimo;Sim máximo;Prob ≥100;Prob ≥140
SEGURO;TITULAR;1;ARQ;Axel Werner;Rosario Central;Argentinos Juniors;TRUE;;7.521;15.725;11.544;2;3;1;14.895;15.587;1.088;0.966;11.544;0;;;;;;156.491;156.468;168.061;125.791;193.082;100.0;96.56
SEGURO;TITULAR;2;DEF;Gonzalo Montiel;River Plate;Huracán;TRUE;;6.218;15.143;10.318;24;3;3;11.039;17.6;1.086;1.0;10.318;0;;;;;;156.491;156.468;168.061;125.791;193.082;100.0;96.56
SEGURO;TITULAR;3;DEF;Diego Sosa;Instituto;Talleres;TRUE;;6.218;14.617;10.103;27;3;3;11.184;16.006;1.111;1.0;10.103;0;;;;;;156.491;156.468;168.061;125.791;193.082;100.0;96.56
SEGURO;TITULAR;4;DEF;Marcos Acuña;River Plate;Huracán;TRUE;;6.218;14.422;9.918;20;3;3;10.532;18.227;1.086;1.0;9.918;0;;;;;;156.491;156.468;168.061;125.791;193.082;100.0;96.56
SEGURO;TITULAR;5;VOL;Thiago Almada;River Plate;Huracán;TRUE;;6.154;18.835;12.718;5;3;3;16.295;20.403;1.086;0.971;12.718;0;;;;;;156.491;156.468;168.061;125.791;193.082;100.0;96.56
SEGURO;TITULAR;6;VOL;Giuliano Cerato;Instituto;Talleres;TRUE;;6.154;17.661;11.68;27;3;3;12.716;18.984;1.111;1.0;11.68;0;;;;;;156.491;156.468;168.061;125.791;193.082;100.0;96.56
SEGURO;TITULAR;7;VOL;Ángel Di Maria;Rosario Central;Argentinos Juniors;TRUE;;6.154;16.885;11.355;23;3;3;12.946;24.797;1.088;1.0;11.355;0;;;;;;156.491;156.468;168.061;125.791;193.082;100.0;96.56
SEGURO;TITULAR;8;DEL;Ronaldo Martínez;Vélez Sarsfield;Tigre;TRUE;;5.577;17.639;11.864;3;3;3;15.353;20.139;1.081;0.963;11.864;0;;;;;;156.491;156.468;168.061;125.791;193.082;100.0;96.56
SEGURO;TITULAR;9;DEL;Allan Wlk;Lanús;Estudiantes;TRUE;;5.577;13.582;8.943;11;3;3;7.7;21.177;1.08;0.989;8.943;0;;;;;;156.491;156.468;168.061;125.791;193.082;100.0;96.56
SEGURO;TITULAR;10;DEL;Alex Luna;Instituto;Talleres;TRUE;;5.577;12.014;8.32;25;3;3;8.302;14.29;1.111;1.0;8.32;0;;;;;;156.491;156.468;168.061;125.791;193.082;100.0;96.56
SEGURO;FLEX;0;DEF;Lucas Martínez Quarta;River Plate;Huracán;TRUE;;;13.896;9.73;28;3;3;10.863;16.659;1.086;1.0;;;9.73;FALSE;0;FALSE;FALSE;;;;;;;
SEGURO;FLEX;0;DEF;Carlos Izquierdoz;Lanús;Estudiantes;TRUE;;;13.904;9.673;24;3;3;10.449;15.949;1.08;1.0;;;9.673;FALSE;0;FALSE;FALSE;;;;;;;
SEGURO;FLEX;0;VOL;Ángel Correa;River Plate;Huracán;TRUE;;;15.834;10.723;8;3;3;11.842;17.913;1.086;0.979;;;10.723;FALSE;0;FALSE;FALSE;;;;;;;
SEGURO;FLEX;0;VOL;Eduardo Salvio;Lanús;Estudiantes;TRUE;;;15.43;10.087;27;3;3;8.609;18.631;1.08;1.0;;;10.087;FALSE;0;FALSE;FALSE;;;;;;;
SEGURO;FLEX;0;DEL;Oscar Cortés;Huracán;River Plate;FALSE;;;11.341;8.099;26;3;3;8.918;14.92;1.015;1.0;;;8.099;FALSE;0;FALSE;FALSE;;;;;;;
SEGURO;FLEX;0;DEL;Juan Gutiérrez;Defensa y Justicia;Central Córdoba de Santiago;FALSE;;;11.285;7.967;25;3;3;8.174;16.309;0.999;1.0;;;7.967;FALSE;0;FALSE;FALSE;;;;;;;
INTERMEDIO;TITULAR;1;ARQ;Thyago Ayala;Sarmiento;Racing Club;FALSE;;7.521;11.945;11.382;6;3;3;11.872;16.4;0.959;0.973;11.382;0;;;;;;138.983;138.797;157.527;86.296;191.63;99.74;46.4
INTERMEDIO;TITULAR;2;DEF;Lucas Martínez Quarta;River Plate;Huracán;TRUE;;6.218;13.896;11.439;28;3;3;10.863;16.659;1.086;1.0;11.439;0;;;;;;138.983;138.797;157.527;86.296;191.63;99.74;46.4
INTERMEDIO;TITULAR;3;DEF;Thiago Silvero;Vélez Sarsfield;Tigre;TRUE;;6.218;13.512;11.244;13;3;3;10.093;17.156;1.081;0.996;11.244;0;;;;;;138.983;138.797;157.527;86.296;191.63;99.74;46.4
INTERMEDIO;TITULAR;4;DEF;Carlos Izquierdoz;Lanús;Estudiantes;TRUE;;6.218;13.904;11.23;24;3;3;10.449;15.949;1.08;1.0;11.23;0;;;;;;138.983;138.797;157.527;86.296;191.63;99.74;46.4
INTERMEDIO;TITULAR;5;VOL;Ángel Correa;River Plate;Huracán;TRUE;;6.154;15.834;12.455;8;3;3;11.842;17.913;1.086;0.979;12.455;0;;;;;;138.983;138.797;157.527;86.296;191.63;99.74;46.4
INTERMEDIO;TITULAR;6;VOL;Jáminton Campaz;Rosario Central;Argentinos Juniors;TRUE;;6.154;14.192;11.948;21;3;3;10.732;19.299;1.088;1.0;11.948;0;;;;;;138.983;138.797;157.527;86.296;191.63;99.74;46.4
INTERMEDIO;TITULAR;7;VOL;Eduardo Salvio;Lanús;Estudiantes;TRUE;;6.154;15.43;11.775;27;3;3;8.609;18.631;1.08;1.0;11.775;0;;;;;;138.983;138.797;157.527;86.296;191.63;99.74;46.4
