match_id,date,team_id,team_name,local_ultimos_5_partidos,local_ultimos_5_ganados,local_ultimos_5_empatados,local_ultimos_5_perdidos,local_ultimos_5_goles_favor,local_ultimos_5_goles_contra,local_ultimos_5_diferencia_gol,local_ultimos_5_puntos,local_ultimos_5_prom_goles_favor,local_ultimos_5_prom_goles_contra,visitante_ultimos_5_partidos,visitante_ultimos_5_ganados,visitante_ultimos_5_empatados,visitante_ultimos_5_perdidos,visitante_ultimos_5_goles_favor,visitante_ultimos_5_goles_contra,visitante_ultimos_5_diferencia_gol,visitante_ultimos_5_puntos,visitante_ultimos_5_prom_goles_favor,visitante_ultimos_5_prom_goles_contra
m_43Vm4s,2026-01-24,t_02LuKO,Talleres,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
m_45TuR8,2026-01-27,t_02LuKO,Talleres,1,1,0,0,2,1,1,3,2.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0
m_2citFn,2026-02-01,t_02LuKO,Talleres,1,1,0,0,2,1,1,3,2.0,1.0,1,0,0,1,1,2,-1,0,1.0,2.0
m_0rf9Wx,2026-02-09,t_02LuKO,Talleres,2,1,0,1,3,3,0,3,1.5,1.5,1,0,0,1,1,2,-1,0,1.0,2.0
m_2a1a7F,2026-02-14,t_02LuKO,Talleres,2,1,0,1,3,3,0,3,1.5,1.5,2,0,1,1,2,3,-1,1,1.0,1.5
m_2M8Y8t,2026-02-21,t_02LuKO,Talleres,3,2,0,1,5,4,1,6,1.6666666666666667,1.3333333333333333,2,0,1,1,2,3,-1,1,1.0,1.5
m_42bvJB,2026-02-24,t_02LuKO,Talleres,3,2,0,1,5,4,1,6,1.6666666666666667,1.3333333333333333,3,1,1,1,3,3,0,4,1.0,1.0
m_3CjTLG,2026-03-01,t_02LuKO,Talleres,3,2,0,1,5,4,1,6,1.6666666666666667,1.3333333333333333,4,1,1,2,3,5,-2,4,0.75,1.25
m_0RZpdm,2026-03-12,t_02LuKO,Talleres,4,2,1,1,5,4,1,7,1.25,1.0,4,1,1,2,3,5,-2,4,0.75,1.25
m_3W9CKi,2026-03-15,t_02LuKO,Talleres,5,3,1,1,7,4,3,10,1.4,0.8,4,1,1,2,3,5,-2,4,0.75,1.25
m_41GmcC,2026-03-21,t_02LuKO,Talleres,5,3,1,1,7,4,3,10,1.4,0.8,5,1,2,2,3,5,-2,5,0.6,1.0
m_24NuK9,2026-04-02,t_02LuKO,Talleres,5,3,1,1,7,4,3,10,1.4,0.8,5,2,2,1,4,4,0,8,0.8,0.8
m_3SYDN1,2026-04-13,t_02LuKO,Talleres,5,2,1,2,5,4,1,7,1.0,0.8,5,2,2,1,4,4,0,8,0.8,0.8
m_2g93PE,2026-04-19,t_02LuKO,Talleres,5,2,1,2,5,4,1,7,1.0,0.8,5,3,1,1,5,4,1,10,1.0,0.8
m_4DTyjs,2026-04-25,t_02LuKO,Talleres,5,3,1,1,6,2,4,10,1.2,0.4,5,3,1,1,5,4,1,10,1.0,0.8
m_3C4rqD,2026-05-02,t_02LuKO,Talleres,5,3,1,1,6,2,4,10,1.2,0.4,5,2,2,1,4,4,0,8,0.8,0.8
m_3c05ZH,2026-05-09,t_02LuKO,Talleres,5,3,1,1,6,2,4,10,1.2,0.4,5,2,3,0,5,3,2,9,1.0,0.6
m_4P8SSz,2026-07-25,t_02LuKO,Talleres,5,2,1,2,4,2,2,7,0.8,0.4,5,2,3,0,5,3,2,9,1.0,0.6
m_0OoV9x,2026-07-30,t_02LuKO,Talleres,5,2,1,2,4,2,2,7,0.8,0.4,5,2,2,1,5,4,1,8,1.0,0.8
m_4f6yGZ,2026-08-12,t_02LuKO,Talleres,5,2,0,3,5,5,0,6,1.0,1.0,5,2,2,1,5,4,1,8,1.0,0.8
m_15Akee,2026-08-18,t_02LuKO,Talleres,5,1,0,4,3,8,-5,3,0.6,1.6,5,2,2,1,5,4,1,8,1.0,0.8
m_2LhyO1,2026-08-25,t_02LuKO,Talleres,5,1,0,4,3,8,-5,3,0.6,1.6,5,1,2,2,4,6,-2,5,0.8,1.2
m_38lyOU,2026-08-30,t_02LuKO,Talleres,5,1,1,3,5,9,-4,4,1.0,1.8,5,1,2,2,4,6,-2,5,0.8,1.2
m_2ImO5V,2026-09-05,t_02LuKO,Talleres,5,0,2,3,3,9,-6,2,0.6,1.8,5,1,2,2,4,6,-2,5,0.8,1.2
m_36N9w7,2026-09-12,t_02LuKO,Talleres,5,0,2,3,3,9,-6,2,0.6,1.8,5,0,2,3,2,6,-4,2,0.4,1.2
m_1bOPPX,2026-01-24,t_0SmVI4,Independiente Rivadavia,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
m_2jeBEO,2026-01-27,t_0SmVI4,Independiente Rivadavia,1,1,0,0,2,1,1,3,2.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0
m_2PMEYZ,2026-02-04,t_0SmVI4,Independiente Rivadavia,1,1,0,0,2,1,1,3,2.0,1.0,1,1,0,0,2,1,1,3,2.0,1.0
m_3jKKF8,2026-02-10,t_0SmVI4,Independiente Rivadavia,2,2,0,0,4,2,2,6,2.0,1.0,1,1,0,0,2,1,1,3,2.0,1.0
m_4RVX9V,2026-02-15,t_0SmVI4,Independiente Rivadavia,2,2,0,0,4,2,2,6,2.0,1.0,2,2,0,0,3,1,2,6,1.5,0.5
m_49Gg2q,2026-02-21,t_0SmVI4,Independiente Rivadavia,3,2,0,1,4,3,1,6,1.3333333333333333,1.0,2,2,0,0,3,1,2,6,1.5,0.5
m_2ASJLP,2026-02-26,t_0SmVI4,Independiente Rivadavia,4,3,0,1,7,5,2,9,1.75,1.25,2,2,0,0,3,1,2,6,1.5,0.5
m_1IrvXt,2026-03-03,t_0SmVI4,Independiente Rivadavia,4,3,0,1,7,5,2,9,1.75,1.25,3,2,1,0,4,2,2,7,1.3333333333333333,0.6666666666666666
m_1DO56u,2026-03-12,t_0SmVI4,Independiente Rivadavia,5,3,1,1,8,6,2,10,1.6,1.2,3,2,1,0,4,2,2,7,1.3333333333333333,0.6666666666666666
