match_id,date,round_name,home_team,away_team,score_home,score_away,referee,goles_totales,resultado_local
m_019qHk,2026-05-04,9,Gimnasia Mendoza,Defensa y Justicia,2.0,1.0,Bruno Amiconi,3.0,G
m_01aTkm,2026-01-28,2,River Plate,Gimnasia LP,2.0,0.0,Pablo Dóvalo,2.0,G
m_02m9E0,2026-08-30,7,Atlético Tucumán,Belgrano,0.0,0.0,Sebastián Martínez,0.0,E
m_03csNA,2026-04-02,13,Barracas Central,Sarmiento,1.0,2.0,Ariel Penel,3.0,P
m_03VPBd,2026-07-29,2,Barracas Central,Aldosivi,1.0,0.0,Sebastían Zunino,1.0,G
m_064D4L,2026-02-13,5,Argentinos Juniors,River Plate,1.0,0.0,Andrés Merlos,1.0,G
m_07PgTk,2026-08-16,5,Club Atlético Platense,Boca Juniors,1.0,1.0,Jorge Ignacio Baliño,2.0,E
m_08AJGA,2026-09-04,8,Club Atlético Platense,Deportivo Riestra,1.0,1.0,Álvaro Carranza,2.0,E
m_09UPPR,2026-01-29,2,Estudiantes,Boca Juniors,2.0,1.0,Pablo Echavarría,3.0,G
m_0afzlB,2026-08-01,3,Racing Club,Tigre,1.0,3.0,Yael Falcón Pérez,4.0,P
m_0AnTKr,2026-09-14,9,Deportivo Riestra,Lanús,0.0,3.0,Leandro Rey Hilfer,3.0,P
m_0aYpab,2026-02-21,6,Deportivo Riestra,Huracán,0.0,0.0,Fernando Echenique,0.0,E
m_0cdzvY,2026-02-14,5,Huracán,Sarmiento,1.0,0.0,Sebastián Nicolás Martínez,1.0,G
m_0cJtQg,2026-04-24,16,Deportivo Riestra,Independiente,2.0,0.0,Luis Lobo Medina,2.0,G
m_0cS0mC,2026-02-26,7,Sarmiento,Unión,1.0,3.0,Daniel Alberto Zamora,4.0,P
m_0cs8S8,2026-02-02,3,Defensa y Justicia,Estudiantes,0.0,0.0,Ariel Penel,0.0,E
m_0CvxlD,2026-08-15,5,San Lorenzo,Unión,1.0,0.0,Leandro Rey Hilfer,1.0,G
m_0d5xg9,2026-03-23,12,Estudiantes,Central Córdoba de Santiago,5.0,0.0,Nicolás Ramírez,5.0,G
m_0eUxKc,2026-08-08,4,Independiente Rivadavia,Estudiantes de Río Cuarto,2.0,1.0,Gonzalo Pereira,3.0,G
m_0fdjQP,2026-05-03,9,Rosario Central,Tigre,1.0,1.0,Hernán Mastrángelo,2.0,E
m_0FlMqm,2026-04-19,15,River Plate,Boca Juniors,0.0,1.0,Darío Herrera,1.0,P
m_0fOliE,2026-04-20,15,Banfield,Independiente Rivadavia,0.0,0.0,Bryan Gustavo Ferreyra,0.0,E
m_0FP8kh,2026-03-15,11,Rosario Central,Banfield,2.0,1.0,Nicolás Lamolina,3.0,G
m_0g9Wn1,2026-04-11,14,Deportivo Riestra,Instituto,0.0,1.0,Nazareno Arasa,1.0,P
m_0GrdJU,2026-01-28,2,Racing Club,Rosario Central,1.0,2.0,Fernando Echenique,3.0,P
m_0HO7em,2026-04-20,15,Barracas Central,Belgrano,0.0,0.0,Nicolás Lamolina,0.0,E
m_0idF82,2026-03-25,12,Deportivo Riestra,San Lorenzo,1.0,1.0,Ariel Penel,2.0,E
m_0IMWj8,2026-04-03,13,San Lorenzo,Estudiantes,1.0,0.0,Sebastían Zunino,1.0,G
m_0JTPFi,2026-02-26,7,Estudiantes de Río Cuarto,Huracán,2.0,0.0,Maximiliano Macheroni,2.0,G
m_0k3gzI,2026-02-07,4,River Plate,Tigre,1.0,4.0,Sebastían Zunino,5.0,P
m_0KBmAa,2026-03-03,8,Banfield,Aldosivi,2.0,0.0,Carlos Andrés Gariano,2.0,G
m_0kIwxH,2026-08-15,5,Aldosivi,Tigre,0.0,0.0,Juan Pafundi,0.0,E
m_0KKvFY,2026-08-04,3,Huracán,Atlético Tucumán,0.0,0.0,Bruno Amiconi,0.0,E
m_0kNt0b,2026-08-24,6,Racing Club,Boca Juniors,1.0,1.0,Nicolás Ramírez,2.0,E
m_0ks99k,2026-02-03,3,Argentinos Juniors,Belgrano,0.0,0.0,Pablo Dóvalo,0.0,E
m_0Ksq5j,2026-09-06,8,Rosario Central,Newell's Old Boys,1.0,1.0,Yael Falcón Pérez,2.0,E
m_0kTolw,2026-05-09,1/8,Boca Juniors,Huracán,2.0,3.0,Pablo Echavarría,5.0,P
m_0M3QLL,2026-08-14,5,Racing Club,Banfield,0.0,1.0,Andrés Merlos,1.0,P
m_0m7kON,2026-08-29,7,Huracán,Estudiantes de Río Cuarto,1.0,1.0,Yael Falcón Pérez,2.0,E
m_0NaY2x,2026-09-06,8,Lanús,Defensa y Justicia,1.0,0.0,Andrés Merlos,1.0,G
m_0ofblh,2026-02-07,4,Central Córdoba de Santiago,Unión,1.0,0.0,Andrés Merlos,1.0,G
m_0OoV9x,2026-07-30,2,Talleres,Vélez Sarsfield,1.0,3.0,Nazareno Arasa,4.0,P
m_0OvFHa,2026-08-01,3,Estudiantes de Río Cuarto,Banfield,0.0,0.0,Jorge Ignacio Baliño,0.0,E
m_0pr0Dr,2026-01-25,1,Rosario Central,Belgrano,1.0,2.0,Yael Falcón Pérez,3.0,P
m_0QgN6d,2026-04-05,13,Rosario Central,Atlético Tucumán,2.0,1.0,Nicolás Ramírez,3.0,G
m_0QP5Eq,2026-04-21,15,Tigre,Huracán,1.0,1.0,Yael Falcón Pérez,2.0,E
m_0rdClw,2026-02-25,7,Vélez Sarsfield,Deportivo Riestra,0.0,0.0,Pablo Echavarría,0.0,E
m_0rf9Wx,2026-02-09,4,Lanús,Talleres,1.0,1.0,Nicolás Lamolina,2.0,E
m_0rmcr6,2026-08-29,7,Boca Juniors,Lanús,1.0,0.0,Pablo Dóvalo,1.0,G
m_0rPnpL,2026-09-08,8,Unión,Instituto,3.0,2.0,Nicolás Lamolina,5.0,G
m_0RZpdm,2026-03-12,10,Talleres,Instituto,2.0,0.0,Darío Herrera,2.0,G
m_0S9hu2,2026-04-05,13,Central Córdoba de Santiago,Newell's Old Boys,1.0,3.0,Hernán Mastrángelo,4.0,P
m_0sFzNT,2026-04-11,14,Independiente Rivadavia,Argentinos Juniors,3.0,1.0,Darío Herrera,4.0,G
m_0smnBS,2026-07-26,1,Estudiantes,Independiente,0.0,2.0,Pablo Dóvalo,2.0,P
