match_id,date,player_id,player_name,team_id,team_name,partidos_historial,prom_ultimos_5_minutes_played,prom_ultimos_5_participacion,prom_ultimos_5_area_rival,prom_ultimos_5_ultimo_tercio,prom_ultimos_5_carreras_progresivas,prom_ultimos_5_duelos,prom_ultimos_5_perdidas,prom_ultimos_5_regates_fallidos,prom_ultimos_5_exceso_perdidas,prom_ultimos_5_pases,prom_ultimos_5_peligro_creado,prom_ultimos_5_defensa,prom_ultimos_5_arquero,prom_ultimos_5_goles_asistencias,prom_ultimos_5_resultado_puntos,prom_ultimos_5_valla_invicta,prom_ultimos_5_winning_total,prom_ultimos_5_accurate_passes,prom_ultimos_5_passes,prom_ultimos_5_progressive_passes,prom_ultimos_5_precision_pases,prom_ultimos_5_passes_into_final_third,prom_ultimos_5_long_balls_accurate,prom_ultimos_5_accurate_crosses,prom_ultimos_5_progressive_carries,prom_ultimos_5_take_ons,prom_ultimos_5_take_ons_won,prom_ultimos_5_failed_dribbles,prom_ultimos_5_miscontrols,prom_ultimos_5_dispossessed,prom_ultimos_5_duels_won,prom_ultimos_5_duels_lost,prom_ultimos_5_tackles,prom_ultimos_5_interceptions,prom_ultimos_5_recoveries,prom_ultimos_5_clearances,prom_ultimos_5_blocks,prom_ultimos_5_dribbled_past,prom_ultimos_5_shots_on_target,prom_ultimos_5_goals,prom_ultimos_5_assists,prom_ultimos_5_chances_created,prom_ultimos_5_saves,prom_ultimos_5_saved_penalties,prom_ultimos_5_goals_conceded,position,fuente_posicion
m_4JeqYL,2026-02-22,p_008yS2,Franco Armani,t_1Fzy5s,River Plate,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARQ,PITCHAPI
m_1wLnDu,2026-04-03,p_016O0E,Mateo Ramirez,t_3TbOfu,Deportivo Riestra,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
m_0pr0Dr,2026-01-25,p_02CSwU,Luca Raffin,t_1rEb7t,Rosario Central,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEF,PITCHAPI
m_0GrdJU,2026-01-28,p_02CSwU,Luca Raffin,t_1rEb7t,Rosario Central,1,3.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.12,0.0,0.0,0.0,0.0,0.25,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,DEF,PITCHAPI
m_1j8XKc,2026-02-25,p_02CSwU,Luca Raffin,t_1rEb7t,Rosario Central,2,2.5,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.12,0.0,0.0,1.5,0.0,1.765,1.0,1.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,DEF,PITCHAPI
m_1WKjOD,2026-03-11,p_02CSwU,Luca Raffin,t_1rEb7t,Rosario Central,3,4.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0466666666666666,0.0,0.12,0.0,0.0,2.0,0.0,2.286666666666666,0.6666666666666666,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,DEF,PITCHAPI
m_0FP8kh,2026-03-15,p_02CSwU,Luca Raffin,t_1rEb7t,Rosario Central,4,21.25,0.6375,0.03,0.0,0.0,-0.2,-0.05,0.0,0.0,0.199225,0.0,1.205,0.0,0.0,1.75,0.0,3.571725,6.25,7.25,0.0,0.47115,0.25,1.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.25,0.25,0.5,1.5,2.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,DEF,PITCHAPI
m_0QgN6d,2026-04-05,p_02CSwU,Luca Raffin,t_1rEb7t,Rosario Central,5,17.4,0.522,0.024,0.0,0.0,-0.16,-0.04,0.0,0.0,0.16338,0.0,0.964,0.0,0.0,2.0,0.0,3.47338,5.2,6.0,0.0,0.57692,0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.0,0.2,0.4,1.2,2.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,DEF,PITCHAPI
m_0fdjQP,2026-05-03,p_02CSwU,Luca Raffin,t_1rEb7t,Rosario Central,5,34.8,1.044,0.024,0.0,0.0,-0.16,-0.08,0.0,0.0,0.37458,0.0,1.7919999999999998,0.0,0.0,2.6,0.0,5.59458,13.8,15.6,0.4,0.5569200000000001,0.8,1.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,1.4,0.6,1.0,2.0,4.6,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,DEF,PITCHAPI
m_48fWBj,2026-08-17,p_02CSwU,Luca Raffin,t_1rEb7t,Rosario Central,5,39.6,1.1880000000000002,0.024,0.0,0.0,-0.16,-0.08,0.0,0.0,0.35858,0.0,1.864,0.0,0.0,2.2,0.0,5.39458,14.0,15.6,0.4,0.75692,0.6,1.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,1.4,0.6,1.0,2.0,5.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,DEF,PITCHAPI
m_2hYXmh,2026-01-25,p_02UzGW,Leandro Paredes,t_0otcXZ,Boca Juniors,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VOL,PITCHAPI
m_09UPPR,2026-01-29,p_02UzGW,Leandro Paredes,t_0otcXZ,Boca Juniors,1,90.0,2.7,0.0,0.0,0.0,-0.8,-0.2,0.0,0.0,4.0,5.5,1.74,0.0,0.0,3.0,0.0,15.94,102.0,102.0,9.0,1.0,15.0,13.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,VOL,PITCHAPI
m_2jSZpM,2026-02-01,p_02UzGW,Leandro Paredes,t_0otcXZ,Boca Juniors,2,90.0,2.7,0.0,0.0,0.025,-0.6000000000000001,-0.3,0.0,0.0,4.0,3.25,2.5,0.0,0.0,1.5,0.0,13.075,88.5,92.0,8.0,0.9573,17.0,15.5,8.5,0.5,0.0,0.0,0.0,1.0,0.5,1.0,4.0,2.5,0.0,5.5,2.5,0.0,0.5,0.0,0.0,0.5,4.0,0.0,0.0,1.0,VOL,PITCHAPI
m_14fRnJ,2026-02-09,p_02UzGW,Leandro Paredes,t_0otcXZ,Boca Juniors,3,89.0,2.67,0.04,0.0,0.0333333333333333,-0.3333333333333333,-0.2,0.0,0.0,3.5163666666666664,2.733333333333333,2.566666666666667,0.0,0.0,2.0,0.0,13.026366666666666,73.66666666666667,76.66666666666667,6.333333333333333,0.9570333333333334,13.333333333333334,12.666666666666666,7.333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,1.6666666666666667,3.333333333333333,2.333333333333333,0.6666666666666666,5.666666666666667,1.6666666666666667,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,0.0,0.0,0.6666666666666666,VOL,PITCHAPI
m_31Xzsf,2026-02-15,p_02UzGW,Leandro Paredes,t_0otcXZ,Boca Juniors,4,89.25,2.6775,0.03,0.0,0.0375,-0.35,-0.15,0.0,0.0,3.637275,2.35,2.925,0.0,0.0,1.5,0.0,12.657275,72.5,75.5,7.25,0.95735,15.0,11.5,7.0,0.75,0.75,0.75,0.0,0.5,0.25,1.75,3.5,2.25,1.25,6.25,1.25,0.25,0.75,0.5,0.25,0.5,2.5,0.0,0.0,1.0,VOL,PITCHAPI
m_3ZmoAF,2026-02-28,p_02UzGW,Leandro Paredes,t_0otcXZ,Boca Juniors,5,88.2,2.646,0.024,0.0,0.04,-0.44,-0.16,0.0,0.0,3.49582,1.88,2.34,0.0,0.0,1.4,0.0,11.22582,69.2,71.6,7.4,0.96588,14.6,10.8,6.2,0.8,0.6,0.6,0.0,0.4,0.4,1.4,3.6,1.8,1.0,5.6,1.0,0.2,1.0,0.4,0.2,0.4,2.0,0.0,0.0,0.8,VOL,PITCHAPI
m_3bNpUp,2026-03-05,p_02UzGW,Leandro Paredes,t_0otcXZ,Boca Juniors,5,77.6,2.3280000000000003,0.024,0.0,0.05,-0.24,-0.12,0.0,0.0,3.3401400000000003,1.38,2.272,0.0,0.0,1.0,0.0,10.03414,58.2,61.2,7.6,0.95388,14.2,10.2,5.4,1.0,0.6,0.6,0.0,0.2,0.4,1.6,2.8,2.0,1.0,5.0,0.6,0.2,1.0,0.4,0.2,0.2,1.4,0.0,0.0,1.0,VOL,PITCHAPI
m_0EJRQi,2026-03-11,p_02UzGW,Leandro Paredes,t_0otcXZ,Boca Juniors,5,77.0,2.31,0.024,0.0,0.04,-0.2,-0.08,0.0,0.0,3.0838,1.58,1.944,0.0,0.0,1.6,0.0,10.3018,57.0,59.2,7.2,0.96262,12.4,8.2,4.2,0.8,0.6,0.6,0.0,0.0,0.4,1.4,2.4,1.4,1.0,4.8,0.2,0.2,0.8,0.4,0.2,0.4,1.4,0.0,0.0,0.6,VOL,PITCHAPI
m_1ifuZW,2026-03-16,p_02UzGW,Leandro Paredes,t_0otcXZ,Boca Juniors,5,77.6,2.3280000000000003,0.048,0.0,0.05,-0.24,-0.16,-0.06,0.0,3.37394,1.6800000000000002,1.784,0.0,0.0,1.2,0.0,10.00394,63.4,66.4,9.2,0.95668,15.2,9.8,3.8,1.0,0.6,0.4,0.2,0.4,0.4,1.2,2.4,1.2,0.6,5.0,0.2,0.2,0.6,0.4,0.0,0.4,1.6,0.0,0.0,0.8,VOL,PITCHAPI
m_3kkhBc,2026-03-22,p_02UzGW,Leandro Paredes,t_0otcXZ,Boca Juniors,5,77.6,2.3280000000000003,0.048,0.0,0.05,-0.32,-0.16,-0.06,0.0,3.2306,1.56,1.36,0.0,0.0,1.4,0.0,9.4366,67.0,70.0,9.8,0.95836,14.2,9.8,2.8,1.0,0.4,0.2,0.2,0.4,0.4,0.8,2.4,0.8,0.4,4.4,1.0,0.2,1.0,0.4,0.0,0.2,1.4,0.0,0.0,0.6,VOL,PITCHAPI
m_24NuK9,2026-04-02,p_02UzGW,Leandro Paredes,t_0otcXZ,Boca Juniors,5,78.6,2.358,0.072,0.0,0.05,-0.12,-0.12,-0.06,0.0,3.4006,2.18,1.78,0.0,0.0,1.8,0.0,11.3406,72.2,75.2,9.6,0.95836,13.4,9.6,3.4,1.0,0.6,0.4,0.2,0.4,0.2,1.0,1.6,0.8,0.6,4.4,2.0,0.4,0.6,0.4,0.0,0.2,1.8,0.0,0.0,0.6,VOL,PITCHAPI
m_0FlMqm,2026-04-19,p_02UzGW,Leandro Paredes,t_0otcXZ,Boca Juniors,5,77.0,2.31,0.072,0.0,0.04,-0.12,-0.16,-0.06,0.0,2.98154,1.58,1.624,0.0,0.0,2.2,0.0,10.46754,66.8,69.0,8.6,0.98088,12.0,8.0,2.6,0.8,0.6,0.4,0.2,0.6,0.2,1.0,1.6,0.6,0.6,4.0,2.2,0.4,0.6,0.4,0.0,0.2,1.2,0.0,0.0,0.4,VOL,PITCHAPI
m_3puHKN,2026-04-23,p_02UzGW,Leandro Paredes,t_0otcXZ,Boca Juniors,5,74.0,2.22,0.096,0.0,0.05,-0.08,-0.16,-0.06,0.0,2.79988,1.6800000000000002,1.864,0.0,0.0,2.2,0.0,10.60988,58.0,59.6,8.2,0.98922,11.2,7.8,2.8,1.0,0.6,0.4,0.2,0.8,0.0,1.2,1.6,1.0,0.6,4.2,2.2,0.4,0.6,0.6,0.2,0.0,1.2,0.0,0.0,0.4,VOL,PITCHAPI
m_3crdvk,2026-05-02,p_02UzGW,Leandro Paredes,t_0otcXZ,Boca Juniors,5,61.6,1.848,0.048,0.0,0.04,-0.04,-0.08,0.0,0.0,2.1617,1.34,1.7239999999999998,0.0,0.0,2.6,0.0,9.6417,46.2,46.8,6.0,0.99274,7.4,4.8,2.6,0.8,0.2,0.2,0.0,0.4,0.0,1.0,1.2,1.2,0.6,3.0,2.2,0.4,0.6,0.4,0.2,0.0,1.0,0.0,0.0,0.2,VOL,PITCHAPI
m_0kTolw,2026-05-09,p_02UzGW,Leandro Paredes,t_0otcXZ,Boca Juniors,5,46.4,1.392,0.048,0.0,0.04,0.16,-0.08,-0.06,0.0,1.7327400000000002,1.7399999999999998,1.768,0.0,0.0,3.0,0.0,9.74074,33.8,34.0,4.0,0.9917,5.4,3.8,2.6,0.8,0.6,0.4,0.2,0.4,0.0,1.4,0.6,1.4,0.6,2.8,1.4,0.2,0.0,0.2,0.2,0.0,1.2,0.0,0.0,0.2,VOL,PITCHAPI
m_2Vtk92,2026-08-02,p_02UzGW,Leandro Paredes,t_0otcXZ,Boca Juniors,5,52.6,1.578,0.048,0.0,0.12,0.12,-0.16,-0.06,0.0,1.7767400000000002,2.18,2.068,0.0,0.0,2.4,0.0,10.07074,45.2,46.0,6.6,0.98748,10.2,6.6,4.4,2.4,0.6,0.4,0.2,0.8,0.0,1.8,1.2,1.8,0.6,4.4,1.4,0.0,0.4,0.6,0.2,0.0,1.6,0.0,0.0,0.8,VOL,PITCHAPI
m_26MC0h,2026-08-05,p_02UzGW,Leandro Paredes,t_0otcXZ,Boca Juniors,5,64.8,1.944,0.048,0.0,0.14,0.04,-0.12,-0.06,0.0,2.30524,2.38,2.6,0.0,0.0,2.0,0.0,11.27724,54.2,56.0,6.6,0.96536,12.6,9.2,5.0,2.8,0.6,0.4,0.2,0.6,0.0,1.6,1.4,1.8,1.0,6.2,2.0,0.0,0.6,0.6,0.2,0.0,2.0,0.0,0.0,1.2,VOL,PITCHAPI
