pitch_x,pitch_y,total,ARQ,DEF,VOL,DEL
0.09,0.5,6,6,0,0,0
0.1,0.5,787,787,0,0,0
0.28,0.125,4,0,4,0,0
0.28,0.375,5,0,5,0,0
0.28,0.625,6,0,6,0,0
0.28,0.875,6,0,6,0,0
0.292,0.125,344,0,335,9,0
0.292,0.21,54,0,53,1,0
0.292,0.305,1,0,1,0,0
0.292,0.375,381,0,381,0,0
0.292,0.5,56,0,56,0,0
0.292,0.625,390,0,390,0,0
0.292,0.695,1,0,1,0,0
0.292,0.79,55,0,54,1,0
0.292,0.875,366,0,359,7,0
0.306,0.11,1,0,1,0,0
0.306,0.89,1,0,1,0,0
0.357,0.125,195,0,189,6,0
0.357,0.21,45,0,45,0,0
0.357,0.305,63,0,63,0,0
0.357,0.375,210,0,210,0,0
0.357,0.5,119,0,117,2,0
0.357,0.625,224,0,223,1,0
0.357,0.695,68,0,67,1,0
0.357,0.79,46,0,45,1,0
0.357,0.875,221,0,190,31,0
0.371,0.11,59,0,54,2,3
0.371,0.89,73,0,66,7,0
0.47,0.5,6,0,0,6,0
0.485,0.11,3,0,1,2,0
0.485,0.125,32,0,20,12,0
0.485,0.21,37,0,1,36,0
0.485,0.3,297,0,13,283,1
0.485,0.305,2,0,0,2,0
0.485,0.375,50,0,3,46,1
0.485,0.5,106,0,2,103,1
0.485,0.625,51,0,2,49,0
0.485,0.695,3,0,0,3,0
0.485,0.7,300,0,1,299,0
0.485,0.79,38,0,0,38,0
0.485,0.875,47,0,17,27,3
0.485,0.89,3,0,1,2,0
0.5,0.31,1,0,0,1,0
0.5,0.69,1,0,0,1,0
0.58,0.245,6,0,0,6,0
0.58,0.755,6,0,0,6,0
0.613,0.11,14,0,13,1,0
0.613,0.125,165,0,18,118,29
0.613,0.21,128,0,1,120,7
0.613,0.3,4,0,1,3,0
0.613,0.305,16,0,0,16,0
0.613,0.375,170,0,2,166,2
0.613,0.5,136,0,1,134,1
0.613,0.625,180,0,4,175,1
0.613,0.695,14,0,0,13,1
0.613,0.7,2,0,0,2,0
0.613,0.79,131,0,4,125,2
0.613,0.875,179,0,30,140,9
0.613,0.89,16,0,11,5,0
0.678,0.125,43,0,7,26,10
0.678,0.163,281,0,7,193,81
0.678,0.21,12,0,0,11,1
0.678,0.3,35,0,0,13,22
0.678,0.375,46,0,2,44,0
0.678,0.5,324,0,5,282,37
0.678,0.625,41,0,0,40,1
0.678,0.7,32,0,0,14,18
0.678,0.79,12,0,0,12,0
0.678,0.837,263,0,16,190,57
0.678,0.875,42,0,9,21,12
0.69,0.5,2,0,0,2,0
0.692,0.203,1,0,0,1,0
0.692,0.798,1,0,0,1,0
0.86,0.163,4,0,0,0,4
0.86,0.837,4,0,0,3,1
0.87,0.17,1,0,1,0,0
0.87,0.21,102,0,1,49,52
0.87,0.3,278,0,0,46,232
0.87,0.5,457,0,0,8,449
0.87,0.7,281,0,0,32,249
0.87,0.79,93,0,2,39,52
0.87,0.83,1,0,0,1,0
0.88,0.3,6,0,0,0,6
0.88,0.7,5,0,0,1,4
0.89,0.5,37,0,0,3,34
0.9,0.5,3,0,0,0,3
