player_id,player_name,posicion_pitchapi,dominancia_pitchapi,posicion_sofascore,posicion_final,fuente_posicion,partidos_historicos
p_3ajgv3,Agustin Lastra,ARQ,100.0,ARQ,ARQ,PITCHAPI,11
p_3dYXua,Agustin Marchesin,ARQ,100.0,ARQ,ARQ,PITCHAPI,12
p_43Olsv,Alan Aguerre,ARQ,100.0,,ARQ,PITCHAPI,25
p_30aPId,Alvaro Montero,ARQ,100.0,ARQ,ARQ,PITCHAPI,26
p_2tK1WJ,Axel Werner,ARQ,100.0,ARQ,ARQ,PITCHAPI,16
p_173wGq,Brayan Cortés,ARQ,100.0,ARQ,ARQ,PITCHAPI,29
p_3foBen,Cesar Rigamonti,ARQ,100.0,,ARQ,PITCHAPI,24
p_46qDWM,Cristopher Fiermarin,ARQ,100.0,ARQ,ARQ,PITCHAPI,16
p_1I81cW,Diego Rodríguez,ARQ,100.0,ARQ,ARQ,PITCHAPI,6
p_2AgfXH,Emmanuel Gómez,ARQ,100.0,ARQ,ARQ,PITCHAPI,2
p_2HsKZ1,Ezequiel Unsain,ARQ,100.0,,ARQ,PITCHAPI,10
p_0wvzBl,Fabricio Iacovich,ARQ,100.0,,ARQ,PITCHAPI,8
p_0Nf4Z8,Facundo Cambeses,ARQ,100.0,ARQ,ARQ,PITCHAPI,30
p_0Jq46V,Facundo Sanguinetti,ARQ,100.0,ARQ,ARQ,PITCHAPI,20
p_1JUF3l,Felipe Zenobio,ARQ,100.0,ARQ,ARQ,PITCHAPI,24
p_43Wo3u,Fernando Muslera,ARQ,100.0,,ARQ,PITCHAPI,18
p_008yS2,Franco Armani,ARQ,100.0,ARQ,ARQ,PITCHAPI,1
p_3QfGtH,Franco Petroli,ARQ,100.0,,ARQ,PITCHAPI,2
p_21OTES,Gabriel Arias,ARQ,100.0,ARQ,ARQ,PITCHAPI,7
p_2M9PCX,Gino Santilli,ARQ,100.0,ARQ,ARQ,PITCHAPI,2
p_1u6e88,Guido Herrera,ARQ,100.0,,ARQ,PITCHAPI,17
p_1HS5gG,Hernán Galindez,ARQ,100.0,ARQ,ARQ,PITCHAPI,29
p_2hE23W,Ignacio Arce,ARQ,100.0,ARQ,ARQ,PITCHAPI,27
p_47ig4s,Ignacio Chicco,ARQ,100.0,ARQ,ARQ,PITCHAPI,4
p_3JhFbV,Iván Arboleda,ARQ,100.0,ARQ,ARQ,PITCHAPI,2
