tipo,posicion,jugador,player_id,equipo,proyeccion,partidos_hist,minutos_hist
TITULAR,G,Ignacio Arce,896998,Deportivo Riestra,7.446267519002598,25,2250.0
TITULAR,D,Gonzalo Perez,1048185,CA Lanús,35.904248524482135,12,691.0
TITULAR,D,Guzmán Corujo,874970,San Lorenzo,28.290945187165775,6,283.0
TITULAR,D,Elías Verón,2353018,Rosario Central,27.09306346258927,7,290.0
TITULAR,M,Ignacio Rodríguez,1113236,Racing Club,37.07743028276228,10,660.0
TITULAR,M,Brian Andrada,790594,Gimnasia y Esgrima Mendoza,34.40117378271897,8,273.0
TITULAR,M,Mateo Seoane,1186698,Gimnasia y Esgrima,29.564969904745436,13,842.0
TITULAR,F,Maximiliano Salas,883933,Independiente Rivadavia,30.117238545748165,19,753.0
TITULAR,F,David Barbona,789910,Defensa y Justicia,16.774828790655825,18,986.0
TITULAR,F,Lucas Besozzi,1086339,CA Lanús,15.988990194968665,22,690.0
FLEX,D,Jeronimo Russo,1485095,Newell's Old Boys,26.324007854986878,20,1186.0
FLEX,M,Matías Sepúlveda,846503,CA Lanús,26.43557801065981,22,900.0
FLEX,F,Adolfo Gaich,940692,Estudiantes de La Plata,15.303393067982514,15,666.0
