player_name,team_name,position,partidos_historial,promedio_winning,promedio_ponderado
Ignacio Arce,Deportivo Riestra,ARQ,26,9.614,9.566
Mateo Del Blanco,Club Atlético Unión de Santa Fe,DEF,18,11.322,11.413
Leandro Lozano,Argentinos Juniors,DEF,14,10.787,10.679
Lautaro Blanco,Boca Juniors,DEF,23,10.326,10.472
Lucas Carrizo,Newell's Old Boys,DEF,4,11.234,10.41
Thiago Almada,River Plate,VOL,5,12.795,12.84
Leandro Paredes,Boca Juniors,VOL,20,10.795,10.637
Franco Ibarra,Rosario Central,VOL,25,10.877,10.633
Maximiliano Salas,Independiente Rivadavia,DEL,5,7.562,8.187
Adrián Balboa,Banfield,DEL,2,6.807,6.807
Matias Reali,San Lorenzo,DEL,14,6.826,6.764
