event_id,equipo,jugador,posicion,partidos_hist,minutos_hist,promedio,winning_por90,proyeccion
16667332,Rosario Central,Elías Verón,D,6,217,1.9510488365800864,14.850475243506494,14.850475243506494
16667337,Estudiantes de La Plata,José Sosa,M,12,417,2.8356582887433017,13.828657857014692,13.828657857014692
16667337,Estudiantes de La Plata,Adolfo Gaich,F,15,666,3.714229239766082,11.439169638559537,11.439169638559537
16667333,CA Talleres,Rick,F,9,428,4.507537013700002,11.412836888966027,11.412836888966027
16667332,Rosario Central,Alan Rodríguez,F,1,90,10.45125,10.45125,10.45125
16667340,Boca Juniors,Tomás Belmonte,M,14,799,3.91091968667443,9.865192037645034,9.865192037645034
16667336,Gimnasia y Esgrima Mendoza,Brian Andrada,F,7,218,1.2521876750700278,9.721046575619493,9.721046575619493
16667332,Argentinos Juniors,Gastón Verón,F,9,541,4.833125807814556,9.647114294062794,9.647114294062794
16667329,Defensa y Justicia,David Barbona,F,9,287,1.7974599536713873,8.763229957748381,8.763229957748381
16667327,River Plate,Tobías Andrada,F,1,89,8.665384615384614,8.762748487467587,8.762748487467587
16667330,Club Atlético Platense,Gastón Togni,F,1,26,2.46,8.515384615384615,8.515384615384615
16667326,Club Atlético Belgrano,Santiago Longo,F,1,65,6.125555555555556,8.481538461538461,8.481538461538461
16667327,River Plate,Thiago Almada,M,5,443,8.15792449067485,8.264094074671215,8.264094074671215
16667326,Club Atlético Belgrano,Ramiro Hernandes,M,27,1136,2.9685862302951924,7.988429770340172,7.988429770340172
16667333,CA Talleres,Valentín Depietri,F,15,583,2.53369018875861,7.839186046740957,7.839186046740957
16667331,Independiente Rivadavia,Juan Manuel Elordi,D,21,1428,3.9029631369345674,7.783971121333216,7.783971121333216
16667340,Boca Juniors,Ángel Romero,F,8,286,2.0634197456005605,7.719835248918327,7.719835248918327
16667333,Instituto De Córdoba,Jeremías Lázaro,F,3,231,6.935981966403162,7.700790764196054,7.700790764196054
16667335,Atlético Tucumán,Clever Ferreira,D,19,1553,4.717554464034691,7.649283787342962,7.649283787342962
16667328,Gimnasia y Esgrima,Maximiliano Zalazar,F,9,292,2.7307667925756163,7.58470936559974,7.58470936559974
16667326,Club Atlético Belgrano,Nicolás Fernández,F,26,1454,3.6230696595447607,7.469357749003166,7.469357749003166
16667332,Argentinos Juniors,Gabriel Florentín,M,12,284,1.914510754417164,7.400270772143114,7.400270772143114
16667332,Rosario Central,Ángel Di María,F,1,90,7.33611111111111,7.33611111111111,7.33611111111111
16667325,Club Atlético Unión de Santa Fe,Lucas Menossi,M,14,879,5.256119630204204,7.30820364119599,7.30820364119599
16667337,CA Lanús,Felipe Peña Biafore,M,25,1357,3.570982300658055,7.201341550257765,7.201341550257765
16667333,Instituto De Córdoba,Matías Gallardo,M,17,805,3.2338980002082915,7.1042086839819,7.1042086839819
16671623,Vélez Sarsfield,Joaquín García,D,22,1879,4.567040533276578,7.088908704386949,7.088908704386949
16667327,River Plate,Ángel Correa,F,3,202,6.496313390313389,7.005713788644907,7.005713788644907
16667333,CA Talleres,Agustín Álvarez,F,4,278,5.746000111000111,6.837633363218321,6.837633363218321
16667335,Aldosivi,Nicolás Cordero,F,20,1188,2.379973394235798,6.777557243922902,6.777557243922902
