match_id,date,team_id,team_name,prom_ultimos_5_shots_on_target,prom_ultimos_5_chances_created,prom_ultimos_5_accurate_passes,prom_ultimos_5_passes,prom_ultimos_5_progressive_passes,prom_ultimos_5_passes_into_final_third,prom_ultimos_5_accurate_crosses,prom_ultimos_5_progressive_carries,prom_ultimos_5_duels_won,prom_ultimos_5_duels_lost,prom_ultimos_5_tackles,prom_ultimos_5_interceptions,prom_ultimos_5_recoveries,prom_ultimos_5_clearances,prom_ultimos_5_blocks,prom_ultimos_5_dribbled_past,prom_ultimos_5_miscontrols,prom_ultimos_5_dispossessed,prom_ultimos_5_take_ons,prom_ultimos_5_take_ons_won,prom_ultimos_5_failed_dribbles,prom_ultimos_5_saves,prom_ultimos_5_diferencia_duelos,prom_ultimos_5_diferencia_recuperaciones_perdidas,prom_ultimos_5_precision_pases
m_43Vm4s,2026-01-24,t_02LuKO,Talleres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m_45TuR8,2026-01-27,t_02LuKO,Talleres,6.0,9.0,446.0,513.0,22.0,51.0,23.0,14.0,10.0,47.0,10.0,6.0,44.0,27.0,1.0,5.0,16.0,7.0,15.0,4.0,11.0,2.0,-37.0,37.0,0.8693957115009746
m_2citFn,2026-02-01,t_02LuKO,Talleres,7.0,12.5,335.0,411.5,25.0,49.5,20.5,18.0,15.0,44.5,13.5,10.5,47.0,30.0,1.0,5.5,18.0,6.5,13.5,6.0,7.5,2.0,-29.5,40.5,0.8140947752126367
m_0rf9Wx,2026-02-09,t_02LuKO,Talleres,5.333333333333333,11.333333333333334,338.3333333333333,425.0,25.666666666666668,55.333333333333336,21.666666666666668,16.666666666666668,22.333333333333332,41.333333333333336,18.333333333333332,12.666666666666666,46.666666666666664,28.0,0.6666666666666666,5.0,16.0,5.666666666666667,16.333333333333332,9.666666666666666,6.666666666666667,1.6666666666666667,-19.0,41.0,0.796078431372549
m_2a1a7F,2026-02-14,t_02LuKO,Talleres,5.25,11.0,374.0,460.75,26.75,60.0,20.0,16.25,21.0,44.75,17.75,13.0,50.5,27.75,0.75,5.0,17.0,6.0,17.25,8.5,8.75,2.0,-23.75,44.5,0.8117200217037439
m_2M8Y8t,2026-02-21,t_02LuKO,Talleres,5.4,10.2,378.6,466.0,27.4,63.8,20.0,15.2,21.8,49.4,19.0,15.4,51.2,26.6,0.6,5.8,16.8,6.0,20.0,8.6,11.4,2.4,-27.6,45.2,0.8124463519313305
m_42bvJB,2026-02-24,t_02LuKO,Talleres,5.0,9.2,322.0,410.0,26.8,64.0,17.2,14.6,23.0,52.2,21.0,18.4,53.4,31.6,1.4,6.0,16.6,6.0,21.2,8.6,12.6,2.8,-29.2,47.4,0.7853658536585366
m_3CjTLG,2026-03-01,t_02LuKO,Talleres,3.8,7.2,358.0,445.6,26.4,70.0,18.0,13.6,21.6,53.6,21.2,18.2,53.2,29.2,1.4,5.4,16.8,6.0,22.8,7.8,15.0,2.6,-32.0,47.2,0.803411131059246
m_0RZpdm,2026-03-12,t_02LuKO,Talleres,4.6,7.2,343.4,428.2,26.8,66.8,19.2,13.6,19.6,56.0,19.8,18.6,54.8,28.0,1.6,5.2,19.8,5.8,22.4,6.8,15.6,3.4,-36.4,49.0,0.8019617001401215
m_3W9CKi,2026-03-15,t_02LuKO,Talleres,4.2,5.8,289.4,369.2,23.0,61.2,18.4,12.4,20.2,55.0,20.0,19.0,52.0,30.4,2.2,6.4,19.0,6.0,21.0,6.8,14.2,3.8,-34.8,46.0,0.7838569880823402
m_41GmcC,2026-03-21,t_02LuKO,Talleres,3.4,5.4,258.6,333.0,22.0,55.6,17.6,11.2,18.2,54.0,18.6,16.4,52.0,30.2,2.8,5.8,19.8,6.4,17.8,5.4,12.4,3.0,-35.8,45.6,0.7765765765765765
m_24NuK9,2026-04-02,t_02LuKO,Talleres,3.4,5.4,276.6,353.2,22.6,56.2,18.4,12.2,18.6,54.6,17.6,15.6,51.8,27.2,2.2,5.6,19.6,7.0,17.8,6.0,11.8,2.8,-36.0,44.8,0.7831257078142695
m_3SYDN1,2026-04-13,t_02LuKO,Talleres,3.2,6.2,263.2,335.6,23.0,51.0,18.6,12.6,19.4,56.6,17.0,14.0,50.6,25.6,2.4,6.6,18.4,8.0,18.2,6.6,11.6,2.8,-37.2,42.6,0.7842669845053635
m_2g93PE,2026-04-19,t_02LuKO,Talleres,3.0,5.4,279.0,346.8,21.8,51.4,14.8,13.0,17.2,54.4,16.6,12.0,51.4,30.0,2.2,6.6,16.2,8.8,17.4,5.2,12.2,2.8,-37.2,42.6,0.8044982698961938
m_4DTyjs,2026-04-25,t_02LuKO,Talleres,4.0,7.2,329.0,400.2,25.8,52.0,15.8,14.6,15.2,51.6,14.8,11.2,51.2,28.6,1.6,4.6,15.2,7.8,18.0,5.2,12.8,2.0,-36.4,43.4,0.8220889555222389
m_3C4rqD,2026-05-02,t_02LuKO,Talleres,4.2,7.6,344.4,416.0,25.8,52.6,16.2,16.4,16.6,50.0,15.6,11.6,50.4,32.6,2.2,4.4,14.6,7.4,19.6,6.0,13.6,2.6,-33.4,43.0,0.8278846153846153
m_3c05ZH,2026-05-09,t_02LuKO,Talleres,3.6,7.6,330.8,400.6,24.8,50.4,14.6,13.8,17.4,49.6,17.4,11.0,48.8,37.8,3.2,4.6,16.2,6.8,18.8,6.2,12.6,3.2,-32.2,42.0,0.8257613579630554
m_4P8SSz,2026-07-25,t_02LuKO,Talleres,3.8,7.8,309.4,381.2,25.0,50.8,14.6,12.8,18.4,49.2,17.4,12.6,51.0,39.0,3.8,4.4,16.6,7.0,18.6,6.4,12.2,3.4,-30.8,44.0,0.8116474291710388
m_0OoV9x,2026-07-30,t_02LuKO,Talleres,3.8,8.2,344.8,416.2,27.2,55.4,20.0,14.4,18.2,51.0,16.2,13.2,49.8,36.0,4.4,4.8,17.0,7.2,18.8,7.4,11.4,3.0,-32.8,42.6,0.8284478616049976
m_4f6yGZ,2026-08-12,t_02LuKO,Talleres,3.4,9.2,359.2,433.6,29.6,60.6,21.2,15.4,20.8,52.4,17.4,14.4,53.4,32.2,4.2,5.4,18.8,7.6,20.2,9.2,11.0,3.4,-31.6,45.8,0.8284132841328413
m_15Akee,2026-08-18,t_02LuKO,Talleres,4.2,10.8,407.0,484.0,31.0,64.2,22.2,17.4,19.2,50.2,14.8,13.6,53.2,29.2,4.6,5.6,19.2,7.2,18.6,9.8,8.8,3.8,-31.0,46.0,0.8409090909090909
m_2LhyO1,2026-08-25,t_02LuKO,Talleres,5.0,12.0,456.8,531.0,33.6,64.8,25.0,20.8,17.2,49.0,13.0,13.4,54.0,19.4,3.8,6.2,18.6,8.4,18.4,9.8,8.6,3.4,-31.8,45.6,0.8602636534839925
m_38lyOU,2026-08-30,t_02LuKO,Talleres,5.2,10.6,455.0,527.6,32.4,64.2,22.4,19.4,18.0,49.2,15.0,14.4,54.4,22.2,3.4,6.2,19.2,7.2,18.4,10.0,8.4,4.8,-31.2,47.2,0.8623957543593631
m_2ImO5V,2026-09-05,t_02LuKO,Talleres,5.2,13.0,459.2,526.2,35.2,67.2,19.6,18.8,18.0,49.6,14.8,14.2,53.6,20.0,3.2,6.8,18.4,7.0,17.2,8.8,8.4,5.0,-31.6,46.6,0.8726719878373242
m_36N9w7,2026-09-12,t_02LuKO,Talleres,5.2,11.6,425.8,488.0,32.2,61.8,17.6,17.2,17.2,52.8,15.8,15.2,52.6,22.2,4.8,7.6,18.6,8.6,15.2,7.4,7.8,4.8,-35.6,44.0,0.8725409836065574
m_1bOPPX,2026-01-24,t_0SmVI4,Independiente Rivadavia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m_2jeBEO,2026-01-27,t_0SmVI4,Independiente Rivadavia,5.0,5.0,137.0,214.0,12.0,45.0,13.0,11.0,22.0,55.0,25.0,19.0,48.0,31.0,3.0,7.0,19.0,9.0,20.0,11.0,9.0,4.0,-33.0,39.0,0.6401869158878505
m_2PMEYZ,2026-02-04,t_0SmVI4,Independiente Rivadavia,5.5,5.0,159.5,230.5,15.5,54.5,10.5,8.0,19.5,66.0,21.0,16.5,44.5,32.5,3.0,8.0,18.5,10.0,20.5,8.5,12.0,2.5,-46.5,34.5,0.6919739696312365
m_3jKKF8,2026-02-10,t_0SmVI4,Independiente Rivadavia,6.333333333333333,7.666666666666667,169.66666666666666,244.66666666666666,19.0,61.0,11.666666666666666,9.666666666666666,18.0,65.33333333333333,19.333333333333332,15.666666666666666,50.666666666666664,32.666666666666664,3.0,10.0,18.0,8.666666666666666,19.333333333333332,7.666666666666667,11.666666666666666,3.6666666666666665,-47.333333333333336,42.0,0.6934604904632152
m_4RVX9V,2026-02-15,t_0SmVI4,Independiente Rivadavia,5.5,8.75,187.25,273.5,20.0,65.75,14.0,9.0,16.75,61.0,18.25,16.0,50.5,33.0,2.25,10.0,17.0,7.5,19.5,7.5,12.0,2.75,-44.25,43.0,0.6846435100548446
m_49Gg2q,2026-02-21,t_0SmVI4,Independiente Rivadavia,5.0,9.2,198.6,283.6,20.6,66.0,18.2,10.0,17.2,59.8,17.2,15.0,51.6,31.4,2.4,10.6,17.2,6.8,20.0,7.8,12.2,2.6,-42.6,44.8,0.7002820874471086
m_2ASJLP,2026-02-26,t_0SmVI4,Independiente Rivadavia,5.0,11.0,201.8,288.4,22.8,69.6,19.6,10.0,17.6,58.2,15.8,14.4,49.6,34.4,2.2,10.0,16.8,7.2,20.4,8.0,12.4,2.4,-40.6,42.4,0.6997226074895978
m_1IrvXt,2026-03-03,t_0SmVI4,Independiente Rivadavia,4.2,11.0,216.0,311.0,23.2,69.2,21.0,11.4,16.6,51.6,14.8,14.2,52.2,31.2,2.0,9.4,15.2,6.4,18.2,7.6,10.6,2.8,-35.0,45.8,0.6945337620578779
m_1DO56u,2026-03-12,t_0SmVI4,Independiente Rivadavia,3.6,10.0,208.6,302.8,21.0,67.6,21.8,11.0,15.8,48.6,15.2,16.2,49.2,28.0,2.0,8.0,15.8,6.2,16.6,6.8,9.8,2.0,-32.8,43.0,0.6889035667107001
