position,nivel_matchup,jugadores,matchup_promedio,winning_promedio,winning_mediana,winning_maximo
ARQ,ALTO,178,0.6668821835684655,8.522795505617978,7.747,18.35
ARQ,BAJO,126,0.39995998718030906,9.341654761904763,9.007750000000001,18.0864
ARQ,MEDIO,158,0.5245190719516224,8.649291139240507,8.7403,21.264
DEF,ALTO,676,0.6473523892917703,7.205030917159764,6.9864,21.0486
DEF,BAJO,553,0.43086749701988064,8.329259132007232,8.2908,20.9225
DEF,MEDIO,1106,0.5219188954084099,7.72534095840868,7.4624500000000005,24.7492
DEL,ALTO,395,0.6345548426727187,4.910134177215189,3.45,28.2763
DEL,BAJO,314,0.4441594027974003,5.557094904458599,3.9698,22.9617
DEL,MEDIO,758,0.5317513478924604,4.57037110817942,3.0791500000000003,35.35
VOL,ALTO,532,0.6373711633489203,6.710853195488722,5.8993,23.6667
VOL,BAJO,792,0.4395625817300746,7.327069823232324,6.09665,25.1819
VOL,MEDIO,1538,0.517323621707627,6.41286755526658,5.6328499999999995,28.45
